objectid,identifier,box number,title,creator,description,date,date is approximate,subject,sensitive,location,latitude,longitude,source,filename,type,format original,format,digital collection,contributing institution,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,relation
tabor0011,pg83-b05-f42-007_001,05,Men and Marching band members gathered together for photo in celebration of Aerie #54. Fraternal Order of Eagles 34th anniversary meeting [03],"Tabor's Photo Service, Wallace Idaho",Men and marching band members gather for a photograph in celebration of Aerie #54 Fraternal Order of Eagles' 34th anniversary meeting. A welcome sign hangs between two American flags in the background.,1936,,men; bands; flags,,"Wallace, Idaho",47.4743398,-115.9201941,"PG 83, George W. Tabor Photographs, 1890-1973",pg83-b05-f42-007_001.jpg,Image;StillImage,Black & white print,image/jpeg,George W. Tabor Photographs,University of Idaho Library Special Collections and Archives,eng,"Educational use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/tabor/pg83-b05-f42-007_001.jpg,https://www.lib.uidaho.edu/digital/objects/tabor/small/pg83-b05-f42-007_001_sm.jpg,https://www.lib.uidaho.edu/digital/objects/tabor/thumbs/pg83-b05-f42-007_001_th.jpg,
tabor0012,pg83-b05-f42-008_001,05,"Fraternal Order of Eagles drill team members standing for group photo (Aerie #54), Wallace ","Tabor's Photo Service, Wallace Idaho",Fraternal Order of Eagles Aerie #54  drill team members pose for group photo. Streamers in the background.,1936,,men; bands,,"Wallace, Idaho",47.4743398,-115.9201941,"PG 83, George W. Tabor Photographs, 1890-1974",pg83-b05-f42-008_001.jpg,Image;StillImage,Black & white print,image/jpeg,George W. Tabor Photographs,University of Idaho Library Special Collections and Archives,eng,"Educational use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/tabor/pg83-b05-f42-008_001.jpg,https://www.lib.uidaho.edu/digital/objects/tabor/small/pg83-b05-f42-008_001_sm.jpg,https://www.lib.uidaho.edu/digital/objects/tabor/thumbs/pg83-b05-f42-008_001_th.jpg,
tabor0013,pg83-b05-f42-009_001,05,"Fraternal Order of Eagles Aerie #54 drill team member standing together for group photo, Wallace","Tabor's Photo Service, Wallace Idaho",Fraternal Order of Eagles Aerie #54  drill team members pose for group photo. Streamers in the background.,1936,,men; bands,,"Wallace, Idaho",47.4743398,-115.9201941,"PG 83, George W. Tabor Photographs, 1890-1975",pg83-b05-f42-009_001.jpg,Image;StillImage,Black & white print,image/jpeg,George W. Tabor Photographs,University of Idaho Library Special Collections and Archives,eng,"Educational use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/tabor/pg83-b05-f42-009_001.jpg,https://www.lib.uidaho.edu/digital/objects/tabor/small/pg83-b05-f42-009_001_sm.jpg,https://www.lib.uidaho.edu/digital/objects/tabor/thumbs/pg83-b05-f42-009_001_th.jpg,
tabor0014,pg83-b05-f42-010_001,05,"Fraternal Order of Eagles Aerie #54 State Champion drill team members standing together for group photo, Wallace","Tabor's Photo Service, Wallace Idaho","Fraternal Order of Eagles Aerie #54 State Champion drill team members pose for a group photo in front of a building. A banner flag with the words ""Wallace 54"" and ""F.O.E."" on the right. An American flag on the left.",1936,,men; bands; flags,,"Wallace, Idaho",47.4743398,-115.9201941,"PG 83, George W. Tabor Photographs, 1890-1976",pg83-b05-f42-010_001.jpg,Image;StillImage,Black & white print,image/jpeg,George W. Tabor Photographs,University of Idaho Library Special Collections and Archives,eng,"Educational use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/tabor/pg83-b05-f42-010_001.jpg,https://www.lib.uidaho.edu/digital/objects/tabor/small/pg83-b05-f42-010_001_sm.jpg,https://www.lib.uidaho.edu/digital/objects/tabor/thumbs/pg83-b05-f42-010_001_th.jpg,
tabor0015,pg83-b05-f42-011_001,05,"Men and one woman standing together for Idaho State Probate Judges Convention, Wallace","Tabor's Photo Service, Wallace Idaho","Men and one woman stand in front a brick building for the Idaho State Probate Judges' Convention in Wallace, Idaho.",1938-06-20,yeses,buildings (structures); men; judges,,"Wallace, Idaho",47.4743398,-115.9201941,"PG 83, George W. Tabor Photographs, 1890-1977",pg83-b05-f42-011_001.jpg,Image;StillImage,Black & white print,image/jpeg,George W. Tabor Photographs,University of Idaho Library Special Collections and Archives,eng,"Educational use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/tabor/pg83-b05-f42-011_001.jpg,https://www.lib.uidaho.edu/digital/objects/tabor/small/pg83-b05-f42-011_001_sm.jpg,https://www.lib.uidaho.edu/digital/objects/tabor/thumbs/pg83-b05-f42-011_001_th.jpg,
tabor0016,pg83-b05-f42-012_001,05,"Men and women gathered around two men holding a check. Previously described as ""Hatchery photo (payment for land)""","Tabor's Photo Service, Wallace Idaho","Men and one woman gathered around two men holding a check. Previously described as ""Hatchery photo (payment for land)."" Photo print for negative is 83-10-9.",,,women; men,,"Wallace, Idaho",47.4743398,-115.9201941,"PG 83, George W. Tabor Photographs, 1890-1978",pg83-b05-f42-012_001.jpg,Image;StillImage,Black & white print,image/jpeg,George W. Tabor Photographs,University of Idaho Library Special Collections and Archives,eng,"Educational use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/tabor/pg83-b05-f42-012_001.jpg,https://www.lib.uidaho.edu/digital/objects/tabor/small/pg83-b05-f42-012_001_sm.jpg,https://www.lib.uidaho.edu/digital/objects/tabor/thumbs/pg83-b05-f42-012_001_th.jpg,
tabor0017,pg83-b05-f42-013_001,05,"O.E.S. (Order of the Eastern Star of Idaho Grand Chapter) women standing together, Wallace [01]","Tabor's Photo Service, Wallace Idaho",O.E.S. (Order of the Eastern Star of Idaho Grand Chapter) women pose for a photo. Two large flower bouquets placed in front.,1942-06-10,,women,,"Wallace, Idaho",47.4743398,-115.9201941,"PG 83, George W. Tabor Photographs, 1890-1979",pg83-b05-f42-013_001.jpg,Image;StillImage,Black & white print,image/jpeg,George W. Tabor Photographs,University of Idaho Library Special Collections and Archives,eng,"Educational use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/tabor/pg83-b05-f42-013_001.jpg,https://www.lib.uidaho.edu/digital/objects/tabor/small/pg83-b05-f42-013_001_sm.jpg,https://www.lib.uidaho.edu/digital/objects/tabor/thumbs/pg83-b05-f42-013_001_th.jpg,
tabor0018,pg83-b05-f42-014_001,05,"O.E.S. (Order of the Eastern Star of Idaho Grand Chapter) women standing together, Wallace [02]","Tabor's Photo Service, Wallace Idaho",O.E.S. (Order of the Eastern Star of Idaho Grand Chapter) women pose for a photo. The women hold a V-shaped object with ribbons attached to the bottom.,1942-06-10,,women,,"Wallace, Idaho",47.4743398,-115.9201941,"PG 83, George W. Tabor Photographs, 1890-1980",pg83-b05-f42-014_001.jpg,Image;StillImage,Black & white print,image/jpeg,George W. Tabor Photographs,University of Idaho Library Special Collections and Archives,eng,"Educational use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/tabor/pg83-b05-f42-014_001.jpg,https://www.lib.uidaho.edu/digital/objects/tabor/small/pg83-b05-f42-014_001_sm.jpg,https://www.lib.uidaho.edu/digital/objects/tabor/thumbs/pg83-b05-f42-014_001_th.jpg,
tabor0019,pg83-b05-f42-015_001,05,Theta Rho girls drill team standing together,"Tabor's Photo Service, Wallace Idaho","Theta Rho girl's drill team pose for a photograph, wearing matching uniforms and hats.",,,girls; clubs,,"Wallace, Idaho",47.4743398,-115.9201941,"PG 83, George W. Tabor Photographs, 1890-1981",pg83-b05-f42-015_001.jpg,Image;StillImage,Black & white print,image/jpeg,George W. Tabor Photographs,University of Idaho Library Special Collections and Archives,eng,"Educational use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/tabor/pg83-b05-f42-015_001.jpg,https://www.lib.uidaho.edu/digital/objects/tabor/small/pg83-b05-f42-015_001_sm.jpg,https://www.lib.uidaho.edu/digital/objects/tabor/thumbs/pg83-b05-f42-015_001_th.jpg,
tabor0020,pg83-b05-f42-016_001,05,Wallace School Board members gathered around a table,,Four male and one female Wallace School Board members sit around a table. Papers are on the table and hang behind them.,,,board of directors,,"Wallace, Idaho",47.4743398,-115.9201941,"PG 83, George W. Tabor Photographs, 1890-1982",pg83-b05-f42-016_001.jpg,Image;StillImage,Black & white print,image/jpeg,George W. Tabor Photographs,University of Idaho Library Special Collections and Archives,eng,"Educational use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/tabor/pg83-b05-f42-016_001.jpg,https://www.lib.uidaho.edu/digital/objects/tabor/small/pg83-b05-f42-016_001_sm.jpg,https://www.lib.uidaho.edu/digital/objects/tabor/thumbs/pg83-b05-f42-016_001_th.jpg,
tabor0021,pg83-b05-f42-017_001,05,Unidentified group of people and children standing in front of a building [01],,"Unidentified men, women, and children in front of building in Wallace, Idaho.",,,buildings (structures); men; women; children; anonymous people,,"Wallace, Idaho",47.4743398,-115.9201941,"PG 83, George W. Tabor Photographs, 1890-1983",pg83-b05-f42-017_001.jpg,Image;StillImage,Black & white print,image/jpeg,George W. Tabor Photographs,University of Idaho Library Special Collections and Archives,eng,"Educational use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/tabor/pg83-b05-f42-017_001.jpg,https://www.lib.uidaho.edu/digital/objects/tabor/small/pg83-b05-f42-017_001_sm.jpg,https://www.lib.uidaho.edu/digital/objects/tabor/thumbs/pg83-b05-f42-017_001_th.jpg,
tabor0022,pg83-b05-f42-018_001,05,Unidentified group of people and children standing in front of a building [02],,"Unidentified men, women, and children in front of building in Wallace, Idaho. The words ""Wallace, Idaho"" are inscribed on the building.",,,buildings (structures); men; women; children; anonymous people,,"Wallace, Idaho",47.4743398,-115.9201941,"PG 83, George W. Tabor Photographs, 1890-1984",pg83-b05-f42-018_001.jpg,Image;StillImage,Black & white print,image/jpeg,George W. Tabor Photographs,University of Idaho Library Special Collections and Archives,eng,"Educational use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/tabor/pg83-b05-f42-018_001.jpg,https://www.lib.uidaho.edu/digital/objects/tabor/small/pg83-b05-f42-018_001_sm.jpg,https://www.lib.uidaho.edu/digital/objects/tabor/thumbs/pg83-b05-f42-018_001_th.jpg,
tabor0023,pg83-b05-f42-019_001,05,"Idaho State Guards members standing together, Wallace","Tabor's Photo Service, Wallace Idaho","Idaho State Guards members pose for a photo outside in front of a building and an automobile. ""CO-L IDAHO STATE GUARDS-WALLACE, IDA  6-23-42"" is written on the bottom of the photograph.",1942-06-23,,buildings (structures); men; automobiles; military,,"Wallace, Idaho",47.4743398,-115.9201941,"PG 83, George W. Tabor Photographs, 1890-1985",pg83-b05-f42-019_001.jpg,Image;StillImage,Black & white print,image/jpeg,George W. Tabor Photographs,University of Idaho Library Special Collections and Archives,eng,"Educational use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/tabor/pg83-b05-f42-019_001.jpg,https://www.lib.uidaho.edu/digital/objects/tabor/small/pg83-b05-f42-019_001_sm.jpg,https://www.lib.uidaho.edu/digital/objects/tabor/thumbs/pg83-b05-f42-019_001_th.jpg,
tabor0024,pg83-b05-f42-020_001,05,"Idaho State Guards members standing together, Wallace",,"Idaho State Guards members stand together on the steps of a building. ""CO-L IDAHO STATE GUARDS WALLACE, IDA. 6-23-74"" is written on the bottom of the photograph.",1942-06-23,,buildings (structures); men; automobiles; military,,"Wallace, Idaho",47.4743398,-115.9201941,"PG 83, George W. Tabor Photographs, 1890-1987",pg83-b05-f42-020_001.jpg,Image;StillImage,Black & white print,image/jpeg,George W. Tabor Photographs,University of Idaho Library Special Collections and Archives,eng,"Educational use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/tabor/pg83-b05-f42-020_001.jpg,https://www.lib.uidaho.edu/digital/objects/tabor/small/pg83-b05-f42-020_001_sm.jpg,https://www.lib.uidaho.edu/digital/objects/tabor/thumbs/pg83-b05-f42-020_001_th.jpg,
tabor0025,pg83-b05-f43-001_001,05,Northwest Airliner crash 12 miles southwest of Wallace [01],"Tabor's Photo Service, Wallace Idaho",Debris from an airliner crash.,1936-12-18,,accidents; airplanes; remnants,,"Shoshone County, Idaho",47.46402084,-115.9480778,"PG 83, George W. Tabor Photographs, 1890-1988",pg83-b05-f43-001_001.jpg,Image;StillImage,Black & white print,image/jpeg,George W. Tabor Photographs,University of Idaho Library Special Collections and Archives,eng,"Educational use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/tabor/pg83-b05-f43-001_001.jpg,https://www.lib.uidaho.edu/digital/objects/tabor/small/pg83-b05-f43-001_001_sm.jpg,https://www.lib.uidaho.edu/digital/objects/tabor/thumbs/pg83-b05-f43-001_001_th.jpg,
tabor0026,pg83-b05-f43-001_002,05,Northwest Airliner crash 12 miles southwest of Wallace [02],"Tabor's Photo Service, Wallace Idaho",Debris from an airliner crash partially covered in snow.,1936-12-18,,accidents; airplanes; remnants; snow (precipitation),,"Shoshone County, Idaho",47.46402084,-115.9480778,"PG 83, George W. Tabor Photographs, 1890-1989",pg83-b05-f43-001_002.jpg,Image;StillImage,Black & white print,image/jpeg,George W. Tabor Photographs,University of Idaho Library Special Collections and Archives,eng,"Educational use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/tabor/pg83-b05-f43-001_002.jpg,https://www.lib.uidaho.edu/digital/objects/tabor/small/pg83-b05-f43-001_002_sm.jpg,https://www.lib.uidaho.edu/digital/objects/tabor/thumbs/pg83-b05-f43-001_002_th.jpg,
