objectid,parentid,filename,title,creator,date,date is approximate,description,subject,location,latitude,longitude,source,identifier,type,format original,format,digital collection,contributing institution,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb
fitzgerald0011,,ijcmg004_b001_f001-011.jpg,Ella Fitzgerald portrait [7],,,,"Black and white portrait of Ella Fitzgerald for the cover of ""Dream Dancing"" from Pablo records 1977 Montreaux.",jazz; black-and-white photographs; vocalist; musical performance,,,,IJC MG 4 Ella Fitzgerald Collection,ijcmg004_b001_f001-011,Image;StillImage,Black & white photograph,image/jpeg,Collection on Ella Fitzgerald,University of Idaho,eng,"Educational use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/ella-fitzgerald/ijcmg004_b001_f001-011.jpg,https://www.lib.uidaho.edu/digital/objects/ella-fitzgerald/small/ijcmg004_b001_f001-011_sm.jpg,https://www.lib.uidaho.edu/digital/objects/ella-fitzgerald/thumbs/ijcmg004_b001_f001-011_th.jpg
fitzgerald0012,,ijcmg004_b001_f001-012.jpg,Ella Fitzgerald portrait [8],,,,Black and white photographed portait of Ella Fitzgerald from cover of Things Ain't What they Used to Be.,vocalist; black-and-white photographs; jazz,,,,IJC MG 4 Ella Fitzgerald Collection,ijcmg004_b001_f001-012,Image;StillImage,Black & white photograph,image/jpeg,Collection on Ella Fitzgerald,University of Idaho,eng,"Educational use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/ella-fitzgerald/ijcmg004_b001_f001-012.jpg,https://www.lib.uidaho.edu/digital/objects/ella-fitzgerald/small/ijcmg004_b001_f001-012_sm.jpg,https://www.lib.uidaho.edu/digital/objects/ella-fitzgerald/thumbs/ijcmg004_b001_f001-012_th.jpg
fitzgerald0013,,ijcmg004_b001_f002-001.jpg,Ella Fitzgerald portrait [9],,,,Black and white photographed portait of Ella Fitzgerald.,vocalist; black-and-white photographs; jazz,,,,IJC MG 4 Ella Fitzgerald Collection,ijcmg004_b001_f002-001,Image;StillImage,Color photograph,image/jpeg,Collection on Ella Fitzgerald,University of Idaho,eng,"Educational use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/ella-fitzgerald/ijcmg004_b001_f002-001.jpg,https://www.lib.uidaho.edu/digital/objects/ella-fitzgerald/small/ijcmg004_b001_f002-001_sm.jpg,https://www.lib.uidaho.edu/digital/objects/ella-fitzgerald/thumbs/ijcmg004_b001_f002-001_th.jpg
fitzgerald0014,,ijcmg004_b001_f002-002.jpg,Signed Ella Fitzgerald portrait,,,,Signed black and white photographed portrait of Ella Fitzgerald at the Capital Jazz Festival *(double check).,jazz; black-and-white photographs; vocalist; musical performance,,,,IJC MG 4 Ella Fitzgerald Collection,ijcmg004_b001_f002-002,Image;StillImage,Black & white photograph,image/jpeg,Collection on Ella Fitzgerald,University of Idaho,eng,"Educational use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/ella-fitzgerald/ijcmg004_b001_f002-002.jpg,https://www.lib.uidaho.edu/digital/objects/ella-fitzgerald/small/ijcmg004_b001_f002-002_sm.jpg,https://www.lib.uidaho.edu/digital/objects/ella-fitzgerald/thumbs/ijcmg004_b001_f002-002_th.jpg
fitzgerald0015,,ijcmg004_b001_f003-003.jpg,Ella Fitzgerald's Pablo Records business card,,,,Ella Fitzgerald's buiseness card for Pablo Records.,buisness cards;,,,,IJC MG 4 Ella Fitzgerald Collection,ijcmg004_b001_f003-003,Text,Card,image/jpeg,Collection on Ella Fitzgerald,University of Idaho,eng,"Educational use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/ella-fitzgerald/ijcmg004_b001_f003-003.jpg,https://www.lib.uidaho.edu/digital/objects/ella-fitzgerald/small/ijcmg004_b001_f003-003_sm.jpg,https://www.lib.uidaho.edu/digital/objects/ella-fitzgerald/thumbs/ijcmg004_b001_f003-003_th.jpg
fitzgerald0016,,ijcmg004_b001-004.pdf,"""Begin the beguine"" sheet music ",Pacific Music Papers,1963,yes,"Ella Fitzgerald's sheet music for Marty Paich's arrangement of Cole Porters song ""Begin the Beguine.""",sheet music; jazz; vocalist ,,,,IJC MG 4 Ella Fitzgerald Collection,ijcmg004_b001-004,Text,Sheetmusic,application/pdf,Collection on Ella Fitzgerald,University of Idaho,eng,"Educational use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://www.lib.uidaho.edu/digital/objects/ella-fitzgerald/ijcmg004_b001-004.pdf,https://www.lib.uidaho.edu/digital/objects/ella-fitzgerald/small/ijcmg004_b001-004_sm.jpg,https://www.lib.uidaho.edu/digital/objects/ella-fitzgerald/thumbs/ijcmg004_b001-004_th.jpg
fitzgerald0017,,ijcmg004_b001-005.pdf,"""What a difference a day has made"" lyric sheet ","Grever, Maria (1887-1951); Adams, Stanley (1907-1994) ",,,"Ella Fitzgerald's lyric sheet for Maria Grever and Stanley Adams song ""What a Difference a Day has Made.""",sheet music; jazz; vocalist ,,,,IJC MG 4 Ella Fitzgerald Collection,ijcmg004_b001-005,Text,Sheetmusic,application/pdf,Collection on Ella Fitzgerald,University of Idaho,eng,"Educational use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://www.lib.uidaho.edu/digital/objects/ella-fitzgerald/ijcmg004_b001-005.pdf,https://www.lib.uidaho.edu/digital/objects/ella-fitzgerald/small/ijcmg004_b001-005_sm.jpg,https://www.lib.uidaho.edu/digital/objects/ella-fitzgerald/thumbs/ijcmg004_b001-005_th.jpg
fitzgerald0018,,ijcmg004_b001-006.pdf,"""Useless landscape"" lyric sheet","Carlos Jobim, Antonio (1927-1994)",1981,,"Ella Fitzgerald's lyric sheet for Antonio Carlos Jobims song ""Useless Landscape.""",sheet music; jazz; vocalist ,,,,IJC MG 4 Ella Fitzgerald Collection,ijcmg004_b001-006,Text,Sheetmusic,application/pdf,Collection on Ella Fitzgerald,University of Idaho,por;eng,"Educational use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://www.lib.uidaho.edu/digital/objects/ella-fitzgerald/ijcmg004_b001-006.pdf,https://www.lib.uidaho.edu/digital/objects/ella-fitzgerald/small/ijcmg004_b001-006_sm.jpg,https://www.lib.uidaho.edu/digital/objects/ella-fitzgerald/thumbs/ijcmg004_b001-006_th.jpg
fitzgerald0019,,ijcmg004_b001-007.pdf,"""Song of the jet"" lyric sheet","Carlos Jobim, Antonio (1927-1995)",1981,,"Ella Fitzgerald's lyric sheet for Antonio Carlos Jobims song ""Song of the Jet."" *(check there were no other contributors)",sheet music; jazz; vocalist ,,,,IJC MG 4 Ella Fitzgerald Collection,ijcmg004_b001-007,Text,Sheetmusic,application/pdf,Collection on Ella Fitzgerald,University of Idaho,por;eng,"Educational use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://www.lib.uidaho.edu/digital/objects/ella-fitzgerald/ijcmg004_b001-007.pdf,https://www.lib.uidaho.edu/digital/objects/ella-fitzgerald/small/ijcmg004_b001-007_sm.jpg,https://www.lib.uidaho.edu/digital/objects/ella-fitzgerald/thumbs/ijcmg004_b001-007_th.jpg
fitzgerald0020,,ijcmg004_b001-008.pdf,Norman Granz' jazz at the philharmonic 14th national tour program,"Granz, Norman (1918-2001)",1954,,Program from the Norman Granz' Jazz at the Philharmonic 14th National Tour.,concert programs; jazz; vocalist,,,,IJC MG 4 Ella Fitzgerald Collection,ijcmg004_b001-008,Text,Booklet,application/pdf,Collection on Ella Fitzgerald,University of Idaho,eng,"Educational use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://www.lib.uidaho.edu/digital/objects/ella-fitzgerald/ijcmg004_b001-008.pdf,https://www.lib.uidaho.edu/digital/objects/ella-fitzgerald/small/ijcmg004_b001-008_sm.jpg,https://www.lib.uidaho.edu/digital/objects/ella-fitzgerald/thumbs/ijcmg004_b001-008_th.jpg
fitzgerald0021,,ijcmg004_b001-009.pdf,Norman Granz' jazz at the philharmonic 16th national tour program,"Granz, Norman (1918-2001)",1955,,Program from the Norman Granz' Jazz at the Philharmonic 16th National Tour. ,concert programs; jazz; vocalist ,,,,IJC MG 4 Ella Fitzgerald Collection,ijcmg004_b001-009,Text,Booklet,application/pdf,Collection on Ella Fitzgerald,University of Idaho,eng,"Educational use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://www.lib.uidaho.edu/digital/objects/ella-fitzgerald/ijcmg004_b001-009.pdf,https://www.lib.uidaho.edu/digital/objects/ella-fitzgerald/small/ijcmg004_b001-009_sm.jpg,https://www.lib.uidaho.edu/digital/objects/ella-fitzgerald/thumbs/ijcmg004_b001-009_th.jpg
fitzgerald0022,,ijcmg004_b001-010.pdf,Jazz at the Philharmonic: The Ella Fitzgerald Set record cover ,"Granz, Norman (1918-2001)",1983,,Record cover of Jazz at the Philharmonic: The Ella Fitzgerald Set from the Verve Record Label. ,long-playing records; jazz; vocalist; record covers,,,,IJC MG 4 Ella Fitzgerald Collection,ijcmg004_b001-010,Image; StillImage; ,Record cover,application/pdf,Collection on Ella Fitzgerald,University of Idaho,eng,"Educational use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://www.lib.uidaho.edu/digital/objects/ella-fitzgerald/ijcmg004_b001-010.pdf,https://www.lib.uidaho.edu/digital/objects/ella-fitzgerald/small/ijcmg004_b001-010_sm.jpg,https://www.lib.uidaho.edu/digital/objects/ella-fitzgerald/thumbs/ijcmg004_b001-010_th.jpg
fitzgerald0023,,ijcmg004_b001-011.pdf,Ella Fitzgerald Sings the Johnny Mercer Song Book record cover,"Granz, Norman (1918-2001)",1964,,Record cover of Ella Sings the Johnny Mercer Song Book.,long-playing records; jazz; vocalist; record covers,"2220 Colorado Avenue, Santa Monica, CA 90404",34.02759296,-118.4742396,IJC MG 4 Ella Fitzgerald Collection,ijcmg004_b001-011,Image; StillImage; ,Record cover,application/pdf,Collection on Ella Fitzgerald,University of Idaho,eng,"Educational use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://www.lib.uidaho.edu/digital/objects/ella-fitzgerald/ijcmg004_b001-011.pdf,https://www.lib.uidaho.edu/digital/objects/ella-fitzgerald/small/ijcmg004_b001-011_sm.jpg,https://www.lib.uidaho.edu/digital/objects/ella-fitzgerald/thumbs/ijcmg004_b001-011_th.jpg
fitzgerald0024,,ijcmg004_b001-012.pdf,"""Ella Fitzgerald Christmas Record"" Cover",Capital Records,1967,,Record cover of Ella Fitzgerald Christmas.,long-playing records; jazz; vocalist; record covers,"2220 Colorado Avenue, Santa Monica , CA 90404",34.02759296,-118.4742396,IJC MG 4 Ella Fitzgerald Collection,ijcmg004_b001-012,Image; StillImage; ,Record cover,application/pdf,Collection on Ella Fitzgerald,University of Idaho,eng,"Educational use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://www.lib.uidaho.edu/digital/objects/ella-fitzgerald/ijcmg004_b001-012.pdf,https://www.lib.uidaho.edu/digital/objects/ella-fitzgerald/small/ijcmg004_b001-012_sm.jpg,https://www.lib.uidaho.edu/digital/objects/ella-fitzgerald/thumbs/ijcmg004_b001-012_th.jpg
fitzgerald0025,,ijcmg004_b001-013.pdf,"Ella Fitzgerald, ""The Rodgers and Hart Songbook"" record cover","Granz, Norman (1918-2001)",1967,,Record cover of Ella Fitzgerald- The Rodgers and Hart Songbook. ,long-playing records; jazz; vocalist; record covers,"2221 Colorado Avenue, Santa Monica , CA 90404",34.02759296,-118.4742396,IJC MG 4 Ella Fitzgerald Collection,ijcmg004_b001-013,Image; StillImage; ,Record cover,application/pdf,Collection on Ella Fitzgerald,University of Idaho,eng,"Educational use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://www.lib.uidaho.edu/digital/objects/ella-fitzgerald/ijcmg004_b001-013.pdf,https://www.lib.uidaho.edu/digital/objects/ella-fitzgerald/small/ijcmg004_b001-013_sm.jpg,https://www.lib.uidaho.edu/digital/objects/ella-fitzgerald/thumbs/ijcmg004_b001-013_th.jpg
fitzgerald0026,,ijcmg004_b001-014.pdf,"""Digital III at Montreux: Ella Fitzgerald, Count Basie, Joe Pass, Niels-Henning Orsted Pendersen""","Granz, Norman (1918-2001)",1980,,"Record cover of Digital III at Montreux: Ella Fitzgerald, Count Basie, Joe Pass, Niels-Henning Orsted Pendersen.",long-playing records; jazz; vocalist; record covers,"Los Angeles, CA",34.0520261,-118.2799282,IJC MG 4 Ella Fitzgerald Collection,ijcmg004_b001-014,Image; StillImage; ,Record cover,application/pdf,Collection on Ella Fitzgerald,University of Idaho,eng,"Educational use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://www.lib.uidaho.edu/digital/objects/ella-fitzgerald/ijcmg004_b001-014.pdf,https://www.lib.uidaho.edu/digital/objects/ella-fitzgerald/small/ijcmg004_b001-014_sm.jpg,https://www.lib.uidaho.edu/digital/objects/ella-fitzgerald/thumbs/ijcmg004_b001-014_th.jpg
fitzgerald0027,,ijcmg004_b001-015.pdf,"""Ella Fitzgerald at the Montreux Jazz Festival 1975"" record cover","Granz, Norman (1918-2001)",1975-07-17,,Record cover of Ella Fitzgerald at the Montreux Jazz Festival 1975.,long-playing records; jazz; vocalist; record covers,"Los Angeles, CA",34.0520261,-118.2799282,IJC MG 4 Ella Fitzgerald Collection,ijcmg004_b001-015,Image; StillImage; ,Record cover,application/pdf,Collection on Ella Fitzgerald,University of Idaho,eng,"Educational use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://www.lib.uidaho.edu/digital/objects/ella-fitzgerald/ijcmg004_b001-015.pdf,https://www.lib.uidaho.edu/digital/objects/ella-fitzgerald/small/ijcmg004_b001-015_sm.jpg,https://www.lib.uidaho.edu/digital/objects/ella-fitzgerald/thumbs/ijcmg004_b001-015_th.jpg
