objectid,file name,frog,creator,title,date,archival date,description,subject,location,latitude,longitude,source,identifier,type,format original,format,finding aid,digital collection,contributing institution,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb
theatre011,theatre-tent.jpg,theatre-tent,University of Idaho,Tent Players,1942,1941-1942,"From John Ford Sollers Scrapbook, the Tent Players performed on the lawn close to where the Agricultural Biotech Building now stands. The Memorial Gym can be seen in the background.",students; theatre; actors; plays,"Moscow, Idaho",46.729526,-117.014749,John Ford Sollers Scrapbook,MG166,Image;StillImage,bw print,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv760257,,,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,image,https://www.lib.uidaho.edu/digital/objects/theatre/theatre-tent.jpg,https://www.lib.uidaho.edu/digital/objects/theatre/small/theatre-tent_sm.jpg,https://www.lib.uidaho.edu/digital/objects/theatre/thumbs/theatre-tent_th.jpg
theatre012,theatre-tent2.jpg,theatre-tent2,University of Idaho,Tent Players,1942,1941-1942,"From John Ford Sollers Scrapbook, the Tent Players performed on the lawn close to where the Agricultural Biotech Building now stands.",students; theatre; actors; plays,"Moscow, Idaho",46.729526,-117.014749,John Ford Sollers Scrapbook,MG166,Image;StillImage,bw print,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv760258,,,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,image,https://www.lib.uidaho.edu/digital/objects/theatre/theatre-tent2.jpg,https://www.lib.uidaho.edu/digital/objects/theatre/small/theatre-tent2_sm.jpg,https://www.lib.uidaho.edu/digital/objects/theatre/thumbs/theatre-tent2_th.jpg
theatre013,theatre-fieldhouse.jpg,theatre-fieldhouse,University of Idaho,Field House to the right of the Memorial Gym,1970,1968-1972,"University of Idaho campuses, panoramic view from Gault/Upham south. To the right of Memorial Gym is the Field House where U of I Summer Theatre staged shows from 1954-1968.",campuses; buildings; theatre,"Moscow, Idaho",46.726146,-117.014743,PG1 University of Idaho Campus Photographs,PG1-002-43,Image;StillImage,8x10 bw print,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv382718,https://digital.lib.uidaho.edu/digital/collection/pg1,,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,image,https://www.lib.uidaho.edu/digital/objects/theatre/theatre-fieldhouse.jpg,https://www.lib.uidaho.edu/digital/objects/theatre/small/theatre-fieldhouse_sm.jpg,https://www.lib.uidaho.edu/digital/objects/theatre/thumbs/theatre-fieldhouse_th.jpg
theatre014,theatre-fieldhouse2.jpg,theatre-fieldhouse2,University of Idaho,"""Time Out for Ginger""",1958,1958,"U of I Summer Theatre rehearse a scene of ""Time Out for Ginger"" in the field house.",campuses; buildings; theatre,"Moscow, Idaho",46.726146,-117.014743,PG2 University of Idaho Student Organizations Collection,PG2-141-053f,Image;StillImage,bw print,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv867166,https://digital.lib.uidaho.edu/digital/collection/pg2,,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,image,https://www.lib.uidaho.edu/digital/objects/theatre/theatre-fieldhouse2.jpg,https://www.lib.uidaho.edu/digital/objects/theatre/small/theatre-fieldhouse2_sm.jpg,https://www.lib.uidaho.edu/digital/objects/theatre/thumbs/theatre-fieldhouse2_th.jpg
theatre015,theatre-kiva.jpg,theatre-kiva,University of Idaho,Kiva,1970,1969-1974,1970 photograph of the Education Building. Kiva center. Students can be seen to the left.,campuses; buildings; theatre,"Moscow, Idaho",46.725906,-117.012648,PG1 University of Idaho Campus Photographs,PG1-139-01a,Image;StillImage,4x5 bw pirnt,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv382718,https://digital.lib.uidaho.edu/digital/collection/pg1,,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,image,https://www.lib.uidaho.edu/digital/objects/theatre/theatre-kiva.jpg,https://www.lib.uidaho.edu/digital/objects/theatre/small/theatre-kiva_sm.jpg,https://www.lib.uidaho.edu/digital/objects/theatre/thumbs/theatre-kiva_th.jpg
theatre016,theatre-kiva2.jpg,theatre-kiva2,University of Idaho,Actors rehearse,1972,1969-1974,U of I Summer Theatre actors rehearse a scene in the Kiva.,campuses; buildings; theatre,"Moscow, Idaho",46.725906,-117.012648,University of Idaho Theatre Archives,,Image;StillImage,35mm bw negative,image/jpeg,,,,eng," In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/theatre/theatre-kiva2.jpg,https://www.lib.uidaho.edu/digital/objects/theatre/small/theatre-kiva2_sm.jpg,https://www.lib.uidaho.edu/digital/objects/theatre/thumbs/theatre-kiva2_th.jpg
theatre017,theatre-sub.jpg,theatre-sub,University of Idaho,"""The Doctor Inspite of Himself""",1952,1952,"1952 Drama students  (l-r: Ron Baker, Paul Matthews, Beverly Alger, Frank Miles, Larry Hyer, Sharon Henderson) drama students act out a  scene in the department's production of 'The Doctor In Spite of Himself' in the Student Union Building's Borah Theater now the Bruce Pitman Center.",students; theatre; actors; plays,"Moscow, Idaho",46.728638,-117.006997,PG2 University of Idaho Student Organizations Collection,PG2-141-041,Image;StillImage,bw print,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv867166,https://digital.lib.uidaho.edu/digital/collection/pg2,,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,image,https://www.lib.uidaho.edu/digital/objects/theatre/theatre-sub.jpg,https://www.lib.uidaho.edu/digital/objects/theatre/small/theatre-sub_sm.jpg,https://www.lib.uidaho.edu/digital/objects/theatre/thumbs/theatre-sub_th.jpg
theatre018,theatre-lawn.jpg,theatre-lawn,University of Idaho,U of I Summer Theatre on the lawn,1971,1971,1971 U of I Summer Theatre actors perform on the Administration Lawn near the Spanish-American War statue.,students; theatre; actors; plays,"Moscow, Idaho",46.726356,-117.010703,"University Photos photograph collection, 1962-1984",PG126-1-5,Image;StillImage,35mm bw negative,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv645038,,,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,image,https://www.lib.uidaho.edu/digital/objects/theatre/theatre-lawn.jpg,https://www.lib.uidaho.edu/digital/objects/theatre/small/theatre-lawn_sm.jpg,https://www.lib.uidaho.edu/digital/objects/theatre/thumbs/theatre-lawn_th.jpg
theatre019,theatre-lawn2.jpg,theatre-lawn2,University of Idaho,U of I Summer Theatre on the lawn,1971,1971,1971 U of I Summer Theatre actors rehearse on the Administration Lawn near the Spanish-American War statue.,students; theatre; actors; plays,"Moscow, Idaho",46.726356,-117.010703,"University of Idaho Theatre Arts Photographs, 1920-1976",PG24-117,Image;StillImage,2x2 color slide,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv884132,,,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,image,https://www.lib.uidaho.edu/digital/objects/theatre/theatre-lawn2.jpg,https://www.lib.uidaho.edu/digital/objects/theatre/small/theatre-lawn2_sm.jpg,https://www.lib.uidaho.edu/digital/objects/theatre/thumbs/theatre-lawn2_th.jpg
theatre020,theatre-statue.jpg,theatre-statue,University of Idaho,Spanish American War Memorial,1924,1924,1924 photograph of Spanish American War Memorial. Administration building in the background.,campuses; buildings; theatre,"Moscow, Idaho",46.726108,-117.009772,PG1 University of Idaho Campus Photographs,PG1-99-02,Image;StillImage,5x7 bw print,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv382718,https://digital.lib.uidaho.edu/digital/collection/pg1,,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,image,https://www.lib.uidaho.edu/digital/objects/theatre/theatre-statue.jpg,https://www.lib.uidaho.edu/digital/objects/theatre/small/theatre-statue_sm.jpg,https://www.lib.uidaho.edu/digital/objects/theatre/thumbs/theatre-statue_th.jpg
theatre021,theatre-stake.jpg,theatre-stake,University of Idaho,"""American Dream""",1970,1970,"1970 Actors from ""American Dream"" post for a photo at the Burning Stake Coffeehouse which was once inside the Campus Christian Center.",students; theatre; actors; plays,"Moscow, Idaho",46.727054,-117.007828,Argonaut Digital Collection,,Image;StillImage,,image/jpeg,,https://www.lib.uidaho.edu/digital/argonaut/,,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,image,https://www.lib.uidaho.edu/digital/objects/theatre/theatre-stake.jpg,https://www.lib.uidaho.edu/digital/objects/theatre/small/theatre-stake_sm.jpg,https://www.lib.uidaho.edu/digital/objects/theatre/thumbs/theatre-stake_th.jpg
theatre022,theatre-stake2.jpg,theatre-stake2,University of Idaho,The Center,1975,undated,"Undated photo of The Center, formerly the Campus Christian Center. The Burning Stake Coffeehouse was once inside and hosted theatrical productions.",campuses; buildings; theatre,"Moscow, Idaho",46.727054,-117.007828,University of Idaho Campus Photographs Collection,,Image;StillImage,,image/jpeg,,https://www.lib.uidaho.edu/digital/campus/buildings/,,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,image,https://www.lib.uidaho.edu/digital/objects/theatre/theatre-stake2.jpg,https://www.lib.uidaho.edu/digital/objects/theatre/small/theatre-stake2_sm.jpg,https://www.lib.uidaho.edu/digital/objects/theatre/thumbs/theatre-stake2_th.jpg
theatre023,theatre-shattuck.jpg,theatre-shattuck,University of Idaho,The Shattuck,1985,1982-1987,"Outdoor recreational area in the Shattuck Arboretum on the University of Idaho campus. Facility includes picnic tables, a building, and a sitting area surrounded by trees. Theatre plays have been staged there. Photo by Leo Ames.",campuses; buildings; theatre,"Moscow, Idaho",46.725133,-117.015451,Argonaut Photograph Collection,PG52-222,Image;StillImage,photograph,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv681386,https://www.lib.uidaho.edu/digital/argonautphotos/,,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,image,https://www.lib.uidaho.edu/digital/objects/theatre/theatre-shattuck.jpg,https://www.lib.uidaho.edu/digital/objects/theatre/small/theatre-shattuck_sm.jpg,https://www.lib.uidaho.edu/digital/objects/theatre/thumbs/theatre-shattuck_th.jpg
theatre024,theatre-shattuck2.jpg,theatre-shattuck2,University of Idaho,"""Talk To Me Like the Rain and Let Me Listen""",1987,1987,"1987 Kelly Dawson-Moussaux and Eric Jacobson rehearse a scene from ""Talk To Me Like The Rain and Let Me Listen"" at the Shattuck Arboretum, The play was presented by the Collette Players and directed by Angel Katen.",students; theatre; actors; plays,"Moscow, Idaho",46.725133,-117.015451,Kelly Dawson's personal collection. Used with permission.,,Image;StillImage,photograph,image/jpeg,,,,eng," In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/theatre/theatre-shattuck2.jpg,https://www.lib.uidaho.edu/digital/objects/theatre/small/theatre-shattuck2_sm.jpg,https://www.lib.uidaho.edu/digital/objects/theatre/thumbs/theatre-shattuck2_th.jpg
theatre025,theatre-ok.jpg,theatre-ok,University of Idaho,"""Oklahoma!""",1965,1965,1965 The ensemble in Oklahoma! at the Administration Auditorium.,students; theatre; actors; plays,"Moscow, Idaho",46.726007,-117.011208,"University of Idaho Theatre Arts Photographs, 1920-1976",PG24-75,Image;StillImage,35mm color slide,image/jpeg,,,,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,image,https://www.lib.uidaho.edu/digital/objects/theatre/theatre-ok.jpg,https://www.lib.uidaho.edu/digital/objects/theatre/small/theatre-ok_sm.jpg,https://www.lib.uidaho.edu/digital/objects/theatre/thumbs/theatre-ok_th.jpg
theatre026,theatre-hartung.jpg,theatre-hartung,University of Idaho,Hartung Theater,1972,1971-1974,"Hartung Theater, University of Idaho. Architect's drawing.",campuses; buildings; theatre,"Moscow, Idaho",46.728672,-117.017752,PG1 University of Idaho Campus Photographs,PG1-145-02,Image;StillImage,5x7 bw print,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv382718,https://digital.lib.uidaho.edu/digital/collection/pg1,,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,image,https://www.lib.uidaho.edu/digital/objects/theatre/theatre-hartung.jpg,https://www.lib.uidaho.edu/digital/objects/theatre/small/theatre-hartung_sm.jpg,https://www.lib.uidaho.edu/digital/objects/theatre/thumbs/theatre-hartung_th.jpg
theatre027,theatre-hartung2.jpg,theatre-hartung2,University of Idaho,"""Little Women""",2019,2019,"2019 Ensemble for ""Little Women"" on the Hartung stage. Set design by Brindle Brundage.  Lights by Stephanie Lutz. Directed by Ricky Kimball.",students; theatre; actors; plays,"Moscow, Idaho",46.728672,-117.017752,University of Idaho Theatre Archives,,Image;StillImage,,image/jpeg,,,,eng," In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/theatre/theatre-hartung2.jpg,https://www.lib.uidaho.edu/digital/objects/theatre/small/theatre-hartung2_sm.jpg,https://www.lib.uidaho.edu/digital/objects/theatre/thumbs/theatre-hartung2_th.jpg
