objectid,file name,title,description,company names,creator,architect,drawn,traced,date,date is approximate,scale,subject,location built,location created,location,latitude,longitude,digital collection,finding aid,source,identifier,rights,rightsstatement,format original,type,digital format,language,display_template,object_location,image_small,image_thumb
craigmountain011,MG12_F08_p003.jpg,Boiler Grate Bars,Diagram of boiler grate bars for the Craig Mountain Lumber Company.,Craig Mountain Lumber Company,Craig Mountain Lumber Company,,,,,,2 inches = 1 foot,preliminary drawings; boilers (HVAC components),,,,,,Craig Mountain Lumber Company,https://archiveswest.orbiscascade.org/ark:80444/xv96107,"Craig Mountain Lumber Company records, 1909-1956, MG 12, University of Idaho Library Special Collections and Archives",MG12_F08_p003,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Blueprint,image; stillimage,image/jpeg,eng,image,https://www.lib.uidaho.edu/digital/objects/craigmountain/MG12_F08_p003.jpg,https://www.lib.uidaho.edu/digital/objects/craigmountain/small/MG12_F08_p003_sm.jpg,https://www.lib.uidaho.edu/digital/objects/craigmountain/thumbs/MG12_F08_p003_th.jpg
craigmountain012,MG12_F09_p001.jpg,Sawing floor plan,Sawing floor plan blueprint for the Saw Mill by the Craig Mountain Lumber Company by Wash. Huffman.,Craig Mountain Lumber Company,Craig Mountain Lumber Company,Wash. Huffman,"[illegible, shorthand]","[illegible, shorthand]",1910-07-21,,1/4 inch = 1 foot,blueprints; floor plans; steam plants; sawmills;,"Winchester, Idaho","Spokane, Washington",,47.6802164,-117.4035685,Craig Mountain Lumber Company,https://archiveswest.orbiscascade.org/ark:80444/xv96107,"Craig Mountain Lumber Company records, 1909-1956, MG 12, University of Idaho Library Special Collections and Archives",MG12_F09_p001,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,Blueprint,image; stillimage,image/jpeg,eng,image,https://www.lib.uidaho.edu/digital/objects/craigmountain/MG12_F09_p001.jpg,https://www.lib.uidaho.edu/digital/objects/craigmountain/small/MG12_F09_p001_sm.jpg,https://www.lib.uidaho.edu/digital/objects/craigmountain/thumbs/MG12_F09_p001_th.jpg
craigmountain013,MG12_F10_p001.jpg,Machinery Floor Plan,"Machinery floor plan blueprint for the Craig Mountain Lumber Company, Winchester, Idaho by Wash. Huffman.",Craig Mountain Lumber Company,Craig Mountain Lumber Company,Wash. Huffman,"[illegible, shorthand]","[illegible, shorthand]",1910-07-13,,1/4 inch = 1 foot,blueprints; floor plans; machinery; steam plants; saw mills;,"Winchester, Idaho","Spokane, Washington",,47.6802164,-117.4035685,Craig Mountain Lumber Company,https://archiveswest.orbiscascade.org/ark:80444/xv96107,"Craig Mountain Lumber Company records, 1909-1956, MG 12, University of Idaho Library Special Collections and Archives",MG12_F10_p001,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,Blueprint,image; stillimage,image/jpeg,eng,image,https://www.lib.uidaho.edu/digital/objects/craigmountain/MG12_F10_p001.jpg,https://www.lib.uidaho.edu/digital/objects/craigmountain/small/MG12_F10_p001_sm.jpg,https://www.lib.uidaho.edu/digital/objects/craigmountain/thumbs/MG12_F10_p001_th.jpg
craigmountain014,MG12_F11_p001.jpg,Elevations resaw installation,"Elevations resaw installation blueprint for the Craig Mountain Lumber Company, Winchester, Idaho by Wash. Huffman.",Craig Mountain Lumber Company,Craig Mountain Lumber Company,Wash. Huffman,Wash Huffman,,1918-09,,1/4 inch = 1 foot,blueprints; resaw; elevations; machinery;,"Winchester, Idaho","Spokane, Washington",,47.6802164,-117.4035685,Craig Mountain Lumber Company,https://archiveswest.orbiscascade.org/ark:80444/xv96107,"Craig Mountain Lumber Company records, 1909-1956, MG 12, University of Idaho Library Special Collections and Archives",MG12_F11_p001,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,Blueprint,image; stillimage,image/jpeg,eng,image,https://www.lib.uidaho.edu/digital/objects/craigmountain/MG12_F11_p001.jpg,https://www.lib.uidaho.edu/digital/objects/craigmountain/small/MG12_F11_p001_sm.jpg,https://www.lib.uidaho.edu/digital/objects/craigmountain/thumbs/MG12_F11_p001_th.jpg
craigmountain015,MG12_F12_p001.jpg,Fire brick cross-section,Fire brick cross-section detail sketch for the Craig Mountain Lumber Company.,Craig Mountain Lumber Company,Craig Mountain Lumber Company,,,,,,,blueprints; fire bricks; cross sections;,"Winchester, Idaho",,,,,Craig Mountain Lumber Company,https://archiveswest.orbiscascade.org/ark:80444/xv96107,"Craig Mountain Lumber Company records, 1909-1956, MG 12, University of Idaho Library Special Collections and Archives",MG12_F12_p001,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Blueprint,image; stillimage,image/jpeg,eng,image,https://www.lib.uidaho.edu/digital/objects/craigmountain/MG12_F12_p001.jpg,https://www.lib.uidaho.edu/digital/objects/craigmountain/small/MG12_F12_p001_sm.jpg,https://www.lib.uidaho.edu/digital/objects/craigmountain/thumbs/MG12_F12_p001_th.jpg
craigmountain016,MG12_F14_p001.jpg,Elevations of power house,"North and west side end elevations of power house blueprint for the Craig Mountain Lumber Company, Winchester, Idaho.",Craig Mountain Lumber Company,Craig Mountain Lumber Company,Wash. Huffman,Wash Huffman,,1910-01-12,,1/4 inch = 1 foot,blueprints; elevations; powerhouses; chimneys;,"Winchester, Idaho","Spokane, Washington",,47.6802164,-117.4035685,Craig Mountain Lumber Company,https://archiveswest.orbiscascade.org/ark:80444/xv96107,"Craig Mountain Lumber Company records, 1909-1956, MG 12, University of Idaho Library Special Collections and Archives",MG12_F14_p001,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,Blueprint,image; stillimage,image/jpeg,eng,image,https://www.lib.uidaho.edu/digital/objects/craigmountain/MG12_F14_p001.jpg,https://www.lib.uidaho.edu/digital/objects/craigmountain/small/MG12_F14_p001_sm.jpg,https://www.lib.uidaho.edu/digital/objects/craigmountain/thumbs/MG12_F14_p001_th.jpg
craigmountain017,MG12_F14_p002.jpg,Elevations of power plant,"South and east end elevations of power house blueprint for the Craig Mountain Lumber Company, Winchester, Idaho. ",Craig Mountain Lumber Company,Craig Mountain Lumber Company,Wash. Huffman,Wash Huffman,,1910-01-13,,1/4 inch = 1 foot,blueprints; elevations; powerhouses; chimneys; engine houses;,"Winchester, Idaho","Spokane, Washington",,47.6802164,-117.4035685,Craig Mountain Lumber Company,https://archiveswest.orbiscascade.org/ark:80444/xv96107,"Craig Mountain Lumber Company records, 1909-1956, MG 12, University of Idaho Library Special Collections and Archives",MG12_F14_p002,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,Blueprint,image; stillimage,image/jpeg,eng,image,https://www.lib.uidaho.edu/digital/objects/craigmountain/MG12_F14_p002.jpg,https://www.lib.uidaho.edu/digital/objects/craigmountain/small/MG12_F14_p002_sm.jpg,https://www.lib.uidaho.edu/digital/objects/craigmountain/thumbs/MG12_F14_p002_th.jpg
craigmountain018,MG12_F14_p003.jpg,End elevations of power house,"End elevations of the boiler and engine room blueprint for the Craig Mountain Lumber Company, Winchester, Idaho.",Craig Mountain Lumber Company; Union Iron Works,Union Iron Works,,A.H. Irving,H.C.B.,1910-12,,1/4 inch = 1 foot,blueprints; elevations; powerhouses; chimneys;,"Winchester, Idaho","Spokane, Washington",,47.6802164,-117.4035685,Craig Mountain Lumber Company,https://archiveswest.orbiscascade.org/ark:80444/xv96107,"Craig Mountain Lumber Company records, 1909-1956, MG 12, University of Idaho Library Special Collections and Archives",MG12_F14_p003,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,Blueprint,image; stillimage,image/jpeg,eng,image,https://www.lib.uidaho.edu/digital/objects/craigmountain/MG12_F14_p003.jpg,https://www.lib.uidaho.edu/digital/objects/craigmountain/small/MG12_F14_p003_sm.jpg,https://www.lib.uidaho.edu/digital/objects/craigmountain/thumbs/MG12_F14_p003_th.jpg
craigmountain019,MG12_F15_p001.jpg,General drawing for knee and hammer dog,"General drawing by knee and hammer dog built by the Filer and Stowell Company, Milwaukee, Wisconsin.",The Flier and Stowell Company;,The Filer and Stowell Company,,G.M.P,W.W.Z.,1904-03-18,,3 inches = 1 foot,blueprints; hammer dogs; mills; machinery; saw carriages;,,"Milwaukee, Wisconsin",,43.05630088,-88.07592696,Craig Mountain Lumber Company,https://archiveswest.orbiscascade.org/ark:80444/xv96107,"Craig Mountain Lumber Company records, 1909-1956, MG 12, University of Idaho Library Special Collections and Archives",MG12_F15_p001,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,Blueprint,image; stillimage,image/jpeg,eng,image,https://www.lib.uidaho.edu/digital/objects/craigmountain/MG12_F15_p001.jpg,https://www.lib.uidaho.edu/digital/objects/craigmountain/small/MG12_F15_p001_sm.jpg,https://www.lib.uidaho.edu/digital/objects/craigmountain/thumbs/MG12_F15_p001_th.jpg
craigmountain020,MG12_F16_p001.jpg,Burner conveyor,"Burner conveyor blueprint for the Craig Mountain Lumber Company, Winchester, Idaho. The blueprint includes cross section of conveyor in a different scales.",Craig Mountain Lumber Company,Craig Mountain Lumber Company,Wash. Huffman,Wash Huffman,,1910-01-20,,1/8 inch = 1 foot [cross-section scale: 1/2 inch = 1 foot],blueprints; conveyor belts; fuel transport; cross sections; bents;,"Winchester, Idaho","Spokane, Washington",,47.6802164,-117.4035685,Craig Mountain Lumber Company,https://archiveswest.orbiscascade.org/ark:80444/xv96107,"Craig Mountain Lumber Company records, 1909-1956, MG 12, University of Idaho Library Special Collections and Archives",MG12_F16_p001,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,Blueprint,image; stillimage,image/jpeg,eng,image,https://www.lib.uidaho.edu/digital/objects/craigmountain/MG12_F16_p001.jpg,https://www.lib.uidaho.edu/digital/objects/craigmountain/small/MG12_F16_p001_sm.jpg,https://www.lib.uidaho.edu/digital/objects/craigmountain/thumbs/MG12_F16_p001_th.jpg
craigmountain021,MG12_F17_p001.jpg,The Prescott Bandmill-Pacific Type,"The Prescott Bandmill-Pacific Type built by the Prescott Company, Menominee, Michigan. There is a tear in the right top corner.",The Prescott Company,The Prescott Company,,,,,,"[not specified, for reference the wheels are stated to be 9 feet in diameter.]",blueprints; bandmills; sawmills;,,"Menominee, Michigan",,45.10646642,-87.61107835,Craig Mountain Lumber Company,https://archiveswest.orbiscascade.org/ark:80444/xv96107,"Craig Mountain Lumber Company records, 1909-1956, MG 12, University of Idaho Library Special Collections and Archives",MG12_F17_p001,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Blueprint,image; stillimage,image/jpeg,eng,image,https://www.lib.uidaho.edu/digital/objects/craigmountain/MG12_F17_p001.jpg,https://www.lib.uidaho.edu/digital/objects/craigmountain/small/MG12_F17_p001_sm.jpg,https://www.lib.uidaho.edu/digital/objects/craigmountain/thumbs/MG12_F17_p001_th.jpg
craigmountain022,MG12_F18_p001.jpg,Machinery floor plan [revised],"Saw mill machinery floor plan for Craig Mountain Lumber Company, Winchester, Idaho. Parts of the blueprint are revised with white-out.",Craig Mountain Lumber Company,,Wash. Huffman,"[illegible, shorthand]","[illegible, shorthand]",1910-07-13,,1/4 inch = 1 foot,blueprints; floor plans; machinery; steam plants; saw mills;,"Winchester, Idaho","Spokane, Washington",,47.6802164,-117.4035685,Craig Mountain Lumber Company,https://archiveswest.orbiscascade.org/ark:80444/xv96107,"Craig Mountain Lumber Company records, 1909-1956, MG 12, University of Idaho Library Special Collections and Archives",MG12_F18_p001,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,Blueprint,image; stillimage,image/jpeg,eng,image,https://www.lib.uidaho.edu/digital/objects/craigmountain/MG12_F18_p001.jpg,https://www.lib.uidaho.edu/digital/objects/craigmountain/small/MG12_F18_p001_sm.jpg,https://www.lib.uidaho.edu/digital/objects/craigmountain/thumbs/MG12_F18_p001_th.jpg
