objectid,filename,title,creator,donor,date,archival date,description,subject,location,latitude,longitude,source,identifier,type,format original,format,finding aid,digital collection,contributing institution,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb
stockcerts0011,1-012.jpg,Lucky Friday Silver-Lead Mines Co.,,"Bennet, Earl H.",,,Blank shares certificate.,mining; stock certificates; shares; silver (metal); lead (metal),"Wallace, Idaho",,,"Earl Bennett Stock Certificates collection, MG 572, University of Idaho Library Special Collections and Archives",1-012,Text,document,image/jpg,https://archiveswest.orbiscascade.org/ark:80444/xv839959,Stock Certificates Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/stockcerts/1-012.jpg,https://www.lib.uidaho.edu/digital/objects/stockcerts/small/1-012_sm.jpg,https://www.lib.uidaho.edu/digital/objects/stockcerts/thumbs/1-012_th.jpg
stockcerts0012,1-014.jpg,"Polaris Mining Co., Ltd. [1]",,"Bennet, Earl H.",,,Blank shares certificate.,mining; stock certificates; shares,"Wallace, Idaho",,,"Earl Bennett Stock Certificates collection, MG 572, University of Idaho Library Special Collections and Archives",1-014,Text,document,image/jpg,https://archiveswest.orbiscascade.org/ark:80444/xv839959,Stock Certificates Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/stockcerts/1-014.jpg,https://www.lib.uidaho.edu/digital/objects/stockcerts/small/1-014_sm.jpg,https://www.lib.uidaho.edu/digital/objects/stockcerts/thumbs/1-014_th.jpg
stockcerts0013,1-015.jpg,"Wennersten Mining Co., Ltd. [1]",,"Bennet, Earl H.",,,Blank shares certificate.,mining; stock certificates; shares,"Silver City, Idaho",,,"Earl Bennett Stock Certificates collection, MG 572, University of Idaho Library Special Collections and Archives",1-015,Text,document,image/jpg,https://archiveswest.orbiscascade.org/ark:80444/xv839959,Stock Certificates Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/stockcerts/1-015.jpg,https://www.lib.uidaho.edu/digital/objects/stockcerts/small/1-015_sm.jpg,https://www.lib.uidaho.edu/digital/objects/stockcerts/thumbs/1-015_th.jpg
stockcerts0014,1-016.jpg,Golden Cycle Mining and Reduction Co.,,"Bennet, Earl H.",1918-11-13,1918-11-13,Anna B. Butler was the owner of one hundred shares.,mining; stock certificates; shares,"Colorado Springs, Colorado",,,"Earl Bennett Stock Certificates collection, MG 572, University of Idaho Library Special Collections and Archives",1-016,Text,document,image/jpg,https://archiveswest.orbiscascade.org/ark:80444/xv839959,Stock Certificates Collection,,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,image,https://www.lib.uidaho.edu/digital/objects/stockcerts/1-016.jpg,https://www.lib.uidaho.edu/digital/objects/stockcerts/small/1-016_sm.jpg,https://www.lib.uidaho.edu/digital/objects/stockcerts/thumbs/1-016_th.jpg
stockcerts0018,1-020.jpg,West End Consol.Mines Corp.,,"Bennet, Earl H.",,,Blank shares certificate.,mining; stock certificates; shares,"Tonopah, Nevada",,,"Earl Bennett Stock Certificates collection, MG 572, University of Idaho Library Special Collections and Archives",1-020,Text,document,image/jpg,https://archiveswest.orbiscascade.org/ark:80444/xv839959,Stock Certificates Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/stockcerts/1-020.jpg,https://www.lib.uidaho.edu/digital/objects/stockcerts/small/1-020_sm.jpg,https://www.lib.uidaho.edu/digital/objects/stockcerts/thumbs/1-020_th.jpg
stockcerts0019,1-021.jpg,Golconda Mining Corporation [1],,"Bennet, Earl H.",,,Blank shares certificate.,mining; stock certificates; shares,"Wallace, Idaho",,,"Earl Bennett Stock Certificates collection, MG 572, University of Idaho Library Special Collections and Archives",1-021,Text,document,image/jpg,https://archiveswest.orbiscascade.org/ark:80444/xv839959,Stock Certificates Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/stockcerts/1-021.jpg,https://www.lib.uidaho.edu/digital/objects/stockcerts/small/1-021_sm.jpg,https://www.lib.uidaho.edu/digital/objects/stockcerts/thumbs/1-021_th.jpg
stockcerts0020,1-022.jpg,General Mines Corporation [2],,"Bennet, Earl H.",1938-08-10,1938-08-10,Earl Fletcher was the owner of one thousand shares.,mining; stock certificates; shares,Montana,,,"Earl Bennett Stock Certificates collection, MG 572, University of Idaho Library Special Collections and Archives",1-022,Text,document,image/jpg,https://archiveswest.orbiscascade.org/ark:80444/xv839959,Stock Certificates Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/stockcerts/1-022.jpg,https://www.lib.uidaho.edu/digital/objects/stockcerts/small/1-022_sm.jpg,https://www.lib.uidaho.edu/digital/objects/stockcerts/thumbs/1-022_th.jpg
stockcerts0021,1-023.jpg,"Silver Star Queens Mines, Inc. [1]",,"Bennet, Earl H.",1929-12-11,1929-12-11,Hugh Ely Myers was the owner of one thousand shares.,mining; stock certificates; shares,"Wallace, Idaho",,,"Earl Bennett Stock Certificates collection, MG 572, University of Idaho Library Special Collections and Archives",1-023,Text,document,image/jpg,https://archiveswest.orbiscascade.org/ark:80444/xv839959,Stock Certificates Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/stockcerts/1-023.jpg,https://www.lib.uidaho.edu/digital/objects/stockcerts/small/1-023_sm.jpg,https://www.lib.uidaho.edu/digital/objects/stockcerts/thumbs/1-023_th.jpg
stockcerts0022,1-024.jpg,"Silver Star Queens Mines, Inc. [2]",,"Bennet, Earl H.",1968-08-12,1968-08-12,Bach and Co. Incorporated was the owner of five shares.,mining; stock certificates; shares,"Boise, Idaho",,,"Earl Bennett Stock Certificates collection, MG 572, University of Idaho Library Special Collections and Archives",1-024,Text,document,image/jpg,https://archiveswest.orbiscascade.org/ark:80444/xv839959,Stock Certificates Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/stockcerts/1-024.jpg,https://www.lib.uidaho.edu/digital/objects/stockcerts/small/1-024_sm.jpg,https://www.lib.uidaho.edu/digital/objects/stockcerts/thumbs/1-024_th.jpg
stockcerts0023,1-025.jpg,Fortune Mining Co.,,"Bennet, Earl H.",,,Blank shares certificate.,mining; stock certificates; shares,"Wallace, Idaho",,,"Earl Bennett Stock Certificates collection, MG 572, University of Idaho Library Special Collections and Archives",1-025,Text,document,image/jpg,https://archiveswest.orbiscascade.org/ark:80444/xv839959,Stock Certificates Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/stockcerts/1-025.jpg,https://www.lib.uidaho.edu/digital/objects/stockcerts/small/1-025_sm.jpg,https://www.lib.uidaho.edu/digital/objects/stockcerts/thumbs/1-025_th.jpg
stockcerts0024,1-026.jpg,"Dixie Meadows Gold Mines, Inc.",,"Bennet, Earl H.",,,Blank shares certificate.,mining; stock certificates; shares; gold (metal),Idaho,,,"Earl Bennett Stock Certificates collection, MG 572, University of Idaho Library Special Collections and Archives",1-026,Text,document,image/jpg,https://archiveswest.orbiscascade.org/ark:80444/xv839959,Stock Certificates Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/stockcerts/1-026.jpg,https://www.lib.uidaho.edu/digital/objects/stockcerts/small/1-026_sm.jpg,https://www.lib.uidaho.edu/digital/objects/stockcerts/thumbs/1-026_th.jpg
stockcerts0025,1-027.jpg,National Lead Mining Co. [1],,"Bennet, Earl H.",1923-06-02,1923-06-02,John F. Gearen(?) was the owner of one thousand shares. This certificate was marked as This certificate was marked as This was marked as cancelled.,mining; stock certificates; shares; lead (metal),"Wallace, Idaho",,,"Earl Bennett Stock Certificates collection, MG 572, University of Idaho Library Special Collections and Archives",1-027,Text,document,image/jpg,https://archiveswest.orbiscascade.org/ark:80444/xv839959,Stock Certificates Collection,,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,image,https://www.lib.uidaho.edu/digital/objects/stockcerts/1-027.jpg,https://www.lib.uidaho.edu/digital/objects/stockcerts/small/1-027_sm.jpg,https://www.lib.uidaho.edu/digital/objects/stockcerts/thumbs/1-027_th.jpg
stockcerts0026,1-028.jpg,Fitsum Mining Co.,,"Bennet, Earl H.",1940-01-12,1940-01-12,Edward H. Berg was the holder of five hundred shares.,mining; stock certificates; shares,"Coeur d'Alene, Idaho",,,"Earl Bennett Stock Certificates collection, MG 572, University of Idaho Library Special Collections and Archives",1-028,Text,document,image/jpg,https://archiveswest.orbiscascade.org/ark:80444/xv839959,Stock Certificates Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/stockcerts/1-028.jpg,https://www.lib.uidaho.edu/digital/objects/stockcerts/small/1-028_sm.jpg,https://www.lib.uidaho.edu/digital/objects/stockcerts/thumbs/1-028_th.jpg
stockcerts0027,1-029.jpg,Lansing Silver-Lead Mining Co.,,"Bennet, Earl H.",1917-08-19,1917-08-19,Emma Stansfield was the owner of eighteen thousand shares.,mining; stock certificates; shares; silver (metal); lead (metal),"Wallace, Idaho",,,"Earl Bennett Stock Certificates collection, MG 572, University of Idaho Library Special Collections and Archives",1-029,Text,document,image/jpg,https://archiveswest.orbiscascade.org/ark:80444/xv839959,Stock Certificates Collection,,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,image,https://www.lib.uidaho.edu/digital/objects/stockcerts/1-029.jpg,https://www.lib.uidaho.edu/digital/objects/stockcerts/small/1-029_sm.jpg,https://www.lib.uidaho.edu/digital/objects/stockcerts/thumbs/1-029_th.jpg
stockcerts0028,1-030.jpg,"Rainbow Mining and Milling Co., Ltd. [1]",,"Bennet, Earl H.",1941-04-03,1941-04-03,Sarah Page was the owner of five hundred shares.,mining; stock certificates; shares; milling (metalworking),"Coeur d'Alene, Idaho",,,"Earl Bennett Stock Certificates collection, MG 572, University of Idaho Library Special Collections and Archives",1-030,Text,document,image/jpg,https://archiveswest.orbiscascade.org/ark:80444/xv839959,Stock Certificates Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/stockcerts/1-030.jpg,https://www.lib.uidaho.edu/digital/objects/stockcerts/small/1-030_sm.jpg,https://www.lib.uidaho.edu/digital/objects/stockcerts/thumbs/1-030_th.jpg
stockcerts0029,1-031.jpg,"Rainbow Mining and Milling Co., Ltd. [2]",,"Bennet, Earl H.",,,Emma Stansfield was the owner of eighteen thousand shares.,mining; stock certificates; shares; milling (metalworking),"Wallace, Idaho",,,"Earl Bennett Stock Certificates collection, MG 572, University of Idaho Library Special Collections and Archives",1-031,Text,document,image/jpg,https://archiveswest.orbiscascade.org/ark:80444/xv839959,Stock Certificates Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/stockcerts/1-031.jpg,https://www.lib.uidaho.edu/digital/objects/stockcerts/small/1-031_sm.jpg,https://www.lib.uidaho.edu/digital/objects/stockcerts/thumbs/1-031_th.jpg
stockcerts0030,1-032.jpg,Empire Mines Co.,,"Bennet, Earl H.",,,Blank shares certificate.,mining; stock certificates; shares,"Boise, Idaho",,,"Earl Bennett Stock Certificates collection, MG 572, University of Idaho Library Special Collections and Archives",1-032,Text,document,image/jpg,https://archiveswest.orbiscascade.org/ark:80444/xv839959,Stock Certificates Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/stockcerts/1-032.jpg,https://www.lib.uidaho.edu/digital/objects/stockcerts/small/1-032_sm.jpg,https://www.lib.uidaho.edu/digital/objects/stockcerts/thumbs/1-032_th.jpg
stockcerts0031,1-033.jpg,New Jersey Consolidated Mines Co. [1],,"Bennet, Earl H.",,,Blank shares certificate.,mining; stock certificates; shares,"Wallace, Idaho",,,"Earl Bennett Stock Certificates collection, MG 572, University of Idaho Library Special Collections and Archives",1-033,Text,document,image/jpg,https://archiveswest.orbiscascade.org/ark:80444/xv839959,Stock Certificates Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/stockcerts/1-033.jpg,https://www.lib.uidaho.edu/digital/objects/stockcerts/small/1-033_sm.jpg,https://www.lib.uidaho.edu/digital/objects/stockcerts/thumbs/1-033_th.jpg
