objectid,filename,title,creator,description,archival_date,date,date is approximate?,subject,location,latitude,longitude,source,finding_aid,file,format original,format,type,rights,rightsstatement,language,digital collection,contributing institution,display_template,object_location,image_small,image_thumb
flora011,pg129-011.jpg,Veratrum californicum [1],Thomas R. Ashlee,"Common name: Corn Lily. The photo's envelope reads: 'June 26 - 32. Veratrum californicum, Durand. T1/50"", A32, 1PM, bright sun, windy. #11. Mask 3, T45"". Between Cery & Troy, Idaho.' Note: This plant is extremely poisonous.",1932-06-26,1932-06-26,,plants; botany; Idaho; flora; native plants,"Troy, Idaho",46.73682442,-116.769409,"Thomas R. Ashlee and Geoffrey Coope collection of flora in Idaho and Washington, 1932-1934, PG 129, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv372138,pg129-011,Black and white prints,image/jpeg,Image;StillImage,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,image,https://www.lib.uidaho.edu/digital/objects/flora/pg129-011.jpg,https://www.lib.uidaho.edu/digital/objects/flora/small/pg129-011_sm.jpg,https://www.lib.uidaho.edu/digital/objects/flora/thumbs/pg129-011_th.jpg
flora012,pg129-012.jpg,Senecia atriapiulatus (?),Thomas R. Ashlee,"The photo's envelope reads: 'Senecia atriapiulatus, Rydb. June 23 - 35 Cornwall. T1/2"", A16, Dirt H'. #2 vo sec.'",1933-06-23,1933-06-23,,plants; botany; Idaho; flora; native plants,"Cornwall, Idaho",46.70936626,-116.8648576,"Thomas R. Ashlee and Geoffrey Coope collection of flora in Idaho and Washington, 1932-1934, PG 129, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv372138,pg129-012,Black and white prints,image/jpeg,Image;StillImage,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,image,https://www.lib.uidaho.edu/digital/objects/flora/pg129-012.jpg,https://www.lib.uidaho.edu/digital/objects/flora/small/pg129-012_sm.jpg,https://www.lib.uidaho.edu/digital/objects/flora/thumbs/pg129-012_th.jpg
flora013,pg129-013.jpg,Pashystima myrsinites,Thomas R. Ashlee,"Common name: Oregon Boxwood. The photo's envelope reads: 'Woods E of Viola [crossed out] Thatuna Hills, Feb 18. 39. Pashystima myrsinites, (Pursh) Rat. T1"" A32 - Low light.'",1934-02-18,1934-02-18,,plants; botany; Idaho; flora; native plants,"Thatuna Hills, Idaho",46.80565116,-116.8543584,"Thomas R. Ashlee and Geoffrey Coope collection of flora in Idaho and Washington, 1932-1934, PG 129, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv372138,pg129-013,Black and white prints,image/jpeg,Image;StillImage,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,image,https://www.lib.uidaho.edu/digital/objects/flora/pg129-013.jpg,https://www.lib.uidaho.edu/digital/objects/flora/small/pg129-013_sm.jpg,https://www.lib.uidaho.edu/digital/objects/flora/thumbs/pg129-013_th.jpg
flora014,pg129-014.jpg,Penstemon procerus,Thomas R. Ashlee,"Common name: Littleflower Penstemon. The photo's envelope reads: 'Viola grade May 1934. Penstemon procerus, Dougl. T1/25, A16, F.S. 2:30 PM.'",1934-05,1934-05,,plants; botany; flora; native plants,,,,"Thomas R. Ashlee and Geoffrey Coope collection of flora in Idaho and Washington, 1932-1934, PG 129, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv372138,pg129-014,Black and white prints,image/jpeg,Image;StillImage,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,image,https://www.lib.uidaho.edu/digital/objects/flora/pg129-014.jpg,https://www.lib.uidaho.edu/digital/objects/flora/small/pg129-014_sm.jpg,https://www.lib.uidaho.edu/digital/objects/flora/thumbs/pg129-014_th.jpg
flora015,pg129-015.jpg,Penstemon lyallii,Thomas R. Ashlee,"Common name: Lyall Beardtongue. The photo's envelope reads: 'June 24/1934. Garden [of] Dr. Laney, Moscow, Idaho. Penstemon lyallii, Gray. A16, T1/25, F.S. 3:15 PM.'",1934-06-24,1934-06-24,,plants; botany; Idaho; flora; native plants,"Moscow, Idaho",46.73218964,-117.0004539,"Thomas R. Ashlee and Geoffrey Coope collection of flora in Idaho and Washington, 1932-1934, PG 129, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv372138,pg129-015,Black and white prints,image/jpeg,Image;StillImage,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,image,https://www.lib.uidaho.edu/digital/objects/flora/pg129-015.jpg,https://www.lib.uidaho.edu/digital/objects/flora/small/pg129-015_sm.jpg,https://www.lib.uidaho.edu/digital/objects/flora/thumbs/pg129-015_th.jpg
flora016,pg129-016.jpg,Young Willow,Thomas R. Ashlee,"A young willow tree with birds in a nest. The photo's envelope reads: 'July 21/1934. Deep Creek & Elk River junction. Young Willow. Trushes in nest. A16, T1/5"" 10:30 AM.'",1934-07-21,1934-07-21,,plants; botany; Idaho; flora; native plants,"Deer Creek and Elk River Junction, Idaho",46.80774472,-116.1691952,"Thomas R. Ashlee and Geoffrey Coope collection of flora in Idaho and Washington, 1932-1934, PG 129, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv372138,pg129-016,Black and white prints,image/jpeg,Image;StillImage,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,image,https://www.lib.uidaho.edu/digital/objects/flora/pg129-016.jpg,https://www.lib.uidaho.edu/digital/objects/flora/small/pg129-016_sm.jpg,https://www.lib.uidaho.edu/digital/objects/flora/thumbs/pg129-016_th.jpg
flora017,pg129-017.jpg,Habenaria stricta,Thomas R. Ashlee,"The photo's envelope reads: 'June 10/1934. Middle Fork of St. Maries R. Habenaria stricta, Lindl. A16, T1/25"" F.S. 3 PM.'",1934-06-10,1934-06-10,,plants; botany; Idaho; flora; native plants,"Middle Fork of St. Maries River, Idaho",46.94859163,-116.1679858,"Thomas R. Ashlee and Geoffrey Coope collection of flora in Idaho and Washington, 1932-1934, PG 129, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv372138,pg129-017,Black and white prints,image/jpeg,Image;StillImage,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,image,https://www.lib.uidaho.edu/digital/objects/flora/pg129-017.jpg,https://www.lib.uidaho.edu/digital/objects/flora/small/pg129-017_sm.jpg,https://www.lib.uidaho.edu/digital/objects/flora/thumbs/pg129-017_th.jpg
flora018,pg129-018.jpg,Frasera albieaulis,Thomas R. Ashlee,"Common name: Whitestem Frasera. The photo's envelope reads: 'Viola grade May 1934. (Severtia) Frasera albieaulis, Griset. T1/50"" A4, F.S. 3 PM.'",1934-05,1934-05,,plants; botany; Idaho; flora; native plants,"Viola, Idaho",46.83902828,-117.0237102,"Thomas R. Ashlee and Geoffrey Coope collection of flora in Idaho and Washington, 1932-1934, PG 129, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv372138,pg129-018,Black and white prints,image/jpeg,Image;StillImage,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,image,https://www.lib.uidaho.edu/digital/objects/flora/pg129-018.jpg,https://www.lib.uidaho.edu/digital/objects/flora/small/pg129-018_sm.jpg,https://www.lib.uidaho.edu/digital/objects/flora/thumbs/pg129-018_th.jpg
flora019,pg129-019.jpg,Myosotis,Thomas R. Ashlee,"Common name: Alpine Forget-Me-Not. The photo's envelope reads: 'Myosotis. Moscow, May 14 - 34. garden [of] R. A. Deittert. A16, T1/2"", 5:30 PM. Originally from Blue Mts.'",1934-05-14,1934-05-14,,plants; botany; Idaho; flora; native plants,"Moscow, Idaho",46.73218964,-117.0004539,"Thomas R. Ashlee and Geoffrey Coope collection of flora in Idaho and Washington, 1932-1934, PG 129, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv372138,pg129-019,Black and white prints,image/jpeg,Image;StillImage,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,image,https://www.lib.uidaho.edu/digital/objects/flora/pg129-019.jpg,https://www.lib.uidaho.edu/digital/objects/flora/small/pg129-019_sm.jpg,https://www.lib.uidaho.edu/digital/objects/flora/thumbs/pg129-019_th.jpg
flora020,pg129-020.jpg,Berberis repens,Thomas R. Ashlee,"Common name: Creeping Barberry. The photo's envelope reads: 'Kamiack Butte Wash. April 7 - 34. Berberis repens, Lindl. T1/25, A16. F.S. 3:45 PM. #5, 4"".'",1934-04-07,1934-04-07,,plants; botany; Washington; flora; native plants,"Kamiack Butte, Washington",46.86404647,-117.1615512,"Thomas R. Ashlee and Geoffrey Coope collection of flora in Idaho and Washington, 1932-1934, PG 129, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv372138,pg129-020,Black and white prints,image/jpeg,Image;StillImage,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,image,https://www.lib.uidaho.edu/digital/objects/flora/pg129-020.jpg,https://www.lib.uidaho.edu/digital/objects/flora/small/pg129-020_sm.jpg,https://www.lib.uidaho.edu/digital/objects/flora/thumbs/pg129-020_th.jpg
flora021,pg129-021.jpg,Arnica cordifolia,Thomas R. Ashlee,"Common name: Heartleaf Arnica. The photo's envelope reads: 'S. Paradise Ridge. March 31 - 34. Arnica cordifolia, Hook. A16-5, T1/5. Dull. 3 P.M. 5"" #4.'",1934-03-31,1934-03-31,,plants; botany; Idaho; flora; native plants,"South Paradise Ridge, Moscow, Idaho",,,"Thomas R. Ashlee and Geoffrey Coope collection of flora in Idaho and Washington, 1932-1934, PG 129, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv372138,pg129-021,Black and white prints,image/jpeg,Image;StillImage,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,image,https://www.lib.uidaho.edu/digital/objects/flora/pg129-021.jpg,https://www.lib.uidaho.edu/digital/objects/flora/small/pg129-021_sm.jpg,https://www.lib.uidaho.edu/digital/objects/flora/thumbs/pg129-021_th.jpg
flora022,pg129-022.jpg,Brodiaea douglasii,Thomas R. Ashlee,"Common name: Douglas' Brodiaea. The photo's envelope reads: 'May 28. Walker R 6 Mi SE Moscow. Brodiaea douglasii, Wats. A32, T1/5"". A16, T1/25"". #2, 2"". Enl.. mask #1 f11 50 sec. Contrast paper.'",1934-05-28,1934-05-28,yes,plants; botany; Idaho; flora; native plants,"Moscow, Idaho",46.73218964,-117.0004539,"Thomas R. Ashlee and Geoffrey Coope collection of flora in Idaho and Washington, 1932-1934, PG 129, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv372138,pg129-022,Black and white prints,image/jpeg,Image;StillImage,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,image,https://www.lib.uidaho.edu/digital/objects/flora/pg129-022.jpg,https://www.lib.uidaho.edu/digital/objects/flora/small/pg129-022_sm.jpg,https://www.lib.uidaho.edu/digital/objects/flora/thumbs/pg129-022_th.jpg
flora023,pg129-023.jpg,Sassifraga columbiana (?) and Thalesia uniflora,Thomas R. Ashlee,"The photo's envelope reads: 'Kamiack Butte, Wash. April 7 - 1934. Sassifraga columbiana, piper. Thalesia uniflora, (Z) Britt. T1/25"", A16, F.S. 2:10 PM. #2, 4"".'",1934-04-07,1934-04-07,,plants; botany; Washington; flora; native plants,"Kamiack Butte, Washington",46.86404647,-117.1615512,"Thomas R. Ashlee and Geoffrey Coope collection of flora in Idaho and Washington, 1932-1934, PG 129, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv372138,pg129-023,Black and white prints,image/jpeg,Image;StillImage,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,image,https://www.lib.uidaho.edu/digital/objects/flora/pg129-023.jpg,https://www.lib.uidaho.edu/digital/objects/flora/small/pg129-023_sm.jpg,https://www.lib.uidaho.edu/digital/objects/flora/thumbs/pg129-023_th.jpg
