objectid,identifier,title,description,date,date approximate,photographer/artist,subject,location,latitude,longitude,source,language,filename,type,format,format original,digital collection,contributing institution,rights,rightsstatement,display_template,object_location,image_small,image_thumb
gemphotos0011,PG101-160_03,University of Idaho Department of Home Economics students. [3],Two women tracing patterns onto cloth. A third woman is operating a weaving loom. Fabrics are pinned to the wall in the background.,1953,yes,,women; social sciences; students; textile materials; patterns; sewing patterns; loom (textile tool); group portraits; education; home economics,,,,"PG 101, University of Idaho Gem of the Mountains Photograph Collection",eng,PG101-160_03.jpg,Image;StillImage,image/jpeg,black and white negative,Gem of the Mountain Yearbook Photographs,University of Idaho Library Special Collections and Archives,"Educational use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/gemphotos/PG101-160_03.jpg,https://www.lib.uidaho.edu/digital/objects/gemphotos/small/PG101-160_03_sm.jpg,https://www.lib.uidaho.edu/digital/objects/gemphotos/thumbs/PG101-160_03_th.jpg
gemphotos0012,PG101-160_06,University of Idaho Department of Home Economics students. [4],"Three women standing around a set dining table, looking at a prepared dish.",1953,yes,,women; social sciences; students; culinary arts; dining; food; group portraits; home economics,,,,"PG 101, University of Idaho Gem of the Mountains Photograph Collection",eng,PG101-160_06.jpg,Image;StillImage,image/jpeg,black and white negative,Gem of the Mountain Yearbook Photographs,University of Idaho Library Special Collections and Archives,"Educational use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/gemphotos/PG101-160_06.jpg,https://www.lib.uidaho.edu/digital/objects/gemphotos/small/PG101-160_06_sm.jpg,https://www.lib.uidaho.edu/digital/objects/gemphotos/thumbs/PG101-160_06_th.jpg
gemphotos0013,PG101-160_08,University of Idaho Department of Home Economics students. [5],"Foreign student from the Philippines, Getrude Vallejos (middle), making a donation to the Department of Home Economics in the company of Margret Ritchie (right), Professor of Home Economics at the University of Idaho, and an unidentified student (left) at a dining table. Vallejos is wearing a white gown and floral boutonniere. A certificate of the donation is in the hands of the woman on the left.",1953-05-28,,,women; social sciences; students; events; group portraits; education; home economics,,,,"PG 101, University of Idaho Gem of the Mountains Photograph Collection",eng,PG101-160_08.jpg,Image;StillImage,image/jpeg,black and white negative,Gem of the Mountain Yearbook Photographs,University of Idaho Library Special Collections and Archives,"Educational use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/gemphotos/PG101-160_08.jpg,https://www.lib.uidaho.edu/digital/objects/gemphotos/small/PG101-160_08_sm.jpg,https://www.lib.uidaho.edu/digital/objects/gemphotos/thumbs/PG101-160_08_th.jpg
gemphotos0014,PG101-160_09,University of Idaho Department of Home Economics students. [6],"Five women around a set dining table, serving food.",1953,yes,,women; social sciences; students; culinary arts; dining; food; group portraits; home economics,,,,"PG 101, University of Idaho Gem of the Mountains Photograph Collection",eng,PG101-160_09.jpg,Image;StillImage,image/jpeg,black and white negative,Gem of the Mountain Yearbook Photographs,University of Idaho Library Special Collections and Archives,"Educational use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/gemphotos/PG101-160_09.jpg,https://www.lib.uidaho.edu/digital/objects/gemphotos/small/PG101-160_09_sm.jpg,https://www.lib.uidaho.edu/digital/objects/gemphotos/thumbs/PG101-160_09_th.jpg
gemphotos0015,PG101-160_10a,University of Idaho Department of Home Economics students. [7],"Four women setting a dining table, two setting dishes on the table, and two in the back collecting dishes from a cabinet.",1953,yes,,women; social sciences; students; dining; group portraits; home economics,,,,"PG 101, University of Idaho Gem of the Mountains Photograph Collection",eng,PG101-160_10a.jpg,Image;StillImage,image/jpeg,black and white negative,Gem of the Mountain Yearbook Photographs,University of Idaho Library Special Collections and Archives,"Educational use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/gemphotos/PG101-160_10a.jpg,https://www.lib.uidaho.edu/digital/objects/gemphotos/small/PG101-160_10a_sm.jpg,https://www.lib.uidaho.edu/digital/objects/gemphotos/thumbs/PG101-160_10a_th.jpg
gemphotos0016,PG101-160_10b,University of Idaho Department of Home Economics students. [8],"Foreign student from the Philippines, Getrude Vallejos (middle), making a donation to the Department of Home Economics in the company of Margret Ritchie (right), Professor of Home Economics at the University of Idaho, and an unidentified student (left) at a dining table. Vallejos is wearing a white gown and floral boutonniere. A certificate of the donation is in the hands of the woman on the left.",1953-05-28,,,women; social sciences; students; event; faculty; group portraits; education; home economics,,,,"PG 101, University of Idaho Gem of the Mountains Photograph Collection",eng,PG101-160_10b.jpg,Image;StillImage,image/jpeg,black and white negative,Gem of the Mountain Yearbook Photographs,University of Idaho Library Special Collections and Archives,"Educational use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/gemphotos/PG101-160_10b.jpg,https://www.lib.uidaho.edu/digital/objects/gemphotos/small/PG101-160_10b_sm.jpg,https://www.lib.uidaho.edu/digital/objects/gemphotos/thumbs/PG101-160_10b_th.jpg
gemphotos0017,PG101-160_11a,University of Idaho Department of Home Economics students. [9],"The Home Economics students class photo, taken outside of the Home Economics building.",1950,,,women; social sciences; students; group portraits; education; institutional buildings; home economics,,,,"PG 101, University of Idaho Gem of the Mountains Photograph Collection",eng,PG101-160_11a.jpg,Image;StillImage,image/jpeg,black and white negative,Gem of the Mountain Yearbook Photographs,University of Idaho Library Special Collections and Archives,"Educational use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/gemphotos/PG101-160_11a.jpg,https://www.lib.uidaho.edu/digital/objects/gemphotos/small/PG101-160_11a_sm.jpg,https://www.lib.uidaho.edu/digital/objects/gemphotos/thumbs/PG101-160_11a_th.jpg
gemphotos0018,PG101-160_11b,University of Idaho Department of Home Economics students. [10],Four students operating weaving looms.,1953,yes,,women; social sciences; students; textile materials; loom (textile tool); group portraits; home economics,,,,"PG 101, University of Idaho Gem of the Mountains Photograph Collection",eng,PG101-160_11b.jpg,Image;StillImage,image/jpeg,black and white negative,Gem of the Mountain Yearbook Photographs,University of Idaho Library Special Collections and Archives,"Educational use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/gemphotos/PG101-160_11b.jpg,https://www.lib.uidaho.edu/digital/objects/gemphotos/small/PG101-160_11b_sm.jpg,https://www.lib.uidaho.edu/digital/objects/gemphotos/thumbs/PG101-160_11b_th.jpg
gemphotos0019,PG101-160_11c,University of Idaho Department of Home Economics students. [11],"Foreign student from the Philippines, Getrude Vallejos (middle), making a donation to the Department of Home Economics in the company of an unidentified faculty member and an unidentified student (left) at a dining table. Vallejos is wearing a white gown and floral boutonniere. A certificate of the donation is in the hands of the woman on the left.",1953-05-28,,,women; social sciences; students; group portraits; home economics; gifts,,,,"PG 101, University of Idaho Gem of the Mountains Photograph Collection",eng,PG101-160_11c.jpg,Image;StillImage,image/jpeg,black and white negative,Gem of the Mountain Yearbook Photographs,University of Idaho Library Special Collections and Archives,"Educational use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/gemphotos/PG101-160_11c.jpg,https://www.lib.uidaho.edu/digital/objects/gemphotos/small/PG101-160_11c_sm.jpg,https://www.lib.uidaho.edu/digital/objects/gemphotos/thumbs/PG101-160_11c_th.jpg
gemphotos0020,PG101-161_01,University of Idaho Department of Home Economics classes [1],A group of Home Economics students cutting fabric and sewing for class.,1953,yes,,women; social sciences; students; textile materials; faculty; loom (textile tool); group portraits; home economics,,,,"PG 101, University of Idaho Gem of the Mountains Photograph Collection",eng,PG101-161_01.jpg,Image;StillImage,image/jpeg,black and white negative,Gem of the Mountain Yearbook Photographs,University of Idaho Library Special Collections and Archives,"Educational use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/gemphotos/PG101-161_01.jpg,https://www.lib.uidaho.edu/digital/objects/gemphotos/small/PG101-161_01_sm.jpg,https://www.lib.uidaho.edu/digital/objects/gemphotos/thumbs/PG101-161_01_th.jpg
gemphotos0021,PG101-161_02,University of Idaho Department of Home Economics classes [2],"A group of women faculty sitting around a table discussing, documents can be seen in the table.",1953,yes,,women; social sciences; faculty; group portraits; home economics,,,,"PG 101, University of Idaho Gem of the Mountains Photograph Collection",eng,PG101-161_02.jpg,Image;StillImage,image/jpeg,black and white negative,Gem of the Mountain Yearbook Photographs,University of Idaho Library Special Collections and Archives,"Educational use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/gemphotos/PG101-161_02.jpg,https://www.lib.uidaho.edu/digital/objects/gemphotos/small/PG101-161_02_sm.jpg,https://www.lib.uidaho.edu/digital/objects/gemphotos/thumbs/PG101-161_02_th.jpg
gemphotos0022,PG101-161_03,University of Idaho Department of Home Economics classes [3],Three women examining an oriental garb with dragon imagery.,1953,yes,,women; social sciences; students; textile materials; asian; group portraits; home economics,,,,"PG 101, University of Idaho Gem of the Mountains Photograph Collection",eng,PG101-161_03.jpg,Image;StillImage,image/jpeg,black and white negative,Gem of the Mountain Yearbook Photographs,University of Idaho Library Special Collections and Archives,"Educational use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/gemphotos/PG101-161_03.jpg,https://www.lib.uidaho.edu/digital/objects/gemphotos/small/PG101-161_03_sm.jpg,https://www.lib.uidaho.edu/digital/objects/gemphotos/thumbs/PG101-161_03_th.jpg
gemphotos0023,PG101-161_04,University of Idaho Department of Home Economics classes [4],Women dressed in aprons stand behind tables and prepare food on a tray.,1953,,,women; social sciences; students; group portrait; home economics,,,,"PG 101, University of Idaho Gem of the Mountains Photograph Collection",eng,PG101-161_04.jpg,Image;StillImage,image/jpeg,black and white negative,Gem of the Mountain Yearbook Photographs,University of Idaho Library Special Collections and Archives,"Educational use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/gemphotos/PG101-161_04.jpg,https://www.lib.uidaho.edu/digital/objects/gemphotos/small/PG101-161_04_sm.jpg,https://www.lib.uidaho.edu/digital/objects/gemphotos/thumbs/PG101-161_04_th.jpg
gemphotos0024,PG101-161_05,University of Idaho Department of Home Economics classes [5],Home Economics students sitting around a set table.,1953,yes,,women; social sciences; students; dining; group portraits; home economics,,,,"PG 101, University of Idaho Gem of the Mountains Photograph Collection",eng,PG101-161_05.jpg,Image;StillImage,image/jpeg,black and white negative,Gem of the Mountain Yearbook Photographs,University of Idaho Library Special Collections and Archives,"Educational use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/gemphotos/PG101-161_05.jpg,https://www.lib.uidaho.edu/digital/objects/gemphotos/small/PG101-161_05_sm.jpg,https://www.lib.uidaho.edu/digital/objects/gemphotos/thumbs/PG101-161_05_th.jpg
gemphotos0025,PG101-161_06,University of Idaho Department of Home Economics classes [6],"Margret Ritchie, Professor of Home Economics at the University of Idaho, receiving a silver coffeepot from the Moscow Homemakers Club.",1953,,,women; social sciences; faculty; group portraits; home economics; gifts,,,,"PG 101, University of Idaho Gem of the Mountains Photograph Collection",eng,PG101-161_06.jpg,Image;StillImage,image/jpeg,black and white negative,Gem of the Mountain Yearbook Photographs,University of Idaho Library Special Collections and Archives,"Educational use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/gemphotos/PG101-161_06.jpg,https://www.lib.uidaho.edu/digital/objects/gemphotos/small/PG101-161_06_sm.jpg,https://www.lib.uidaho.edu/digital/objects/gemphotos/thumbs/PG101-161_06_th.jpg
gemphotos0026,PG101-161_08,University of Idaho Department of Home Economics classes [7],"Five Home Economics students around a set dining table, serving a dish of food.",1953,yes,,women; social sciences; students; culinary arts; dining; food; group portraits; home economics,,,,"PG 101, University of Idaho Gem of the Mountains Photograph Collection",eng,PG101-161_08.jpg,Image;StillImage,image/jpeg,black and white negative,Gem of the Mountain Yearbook Photographs,University of Idaho Library Special Collections and Archives,"Educational use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/gemphotos/PG101-161_08.jpg,https://www.lib.uidaho.edu/digital/objects/gemphotos/small/PG101-161_08_sm.jpg,https://www.lib.uidaho.edu/digital/objects/gemphotos/thumbs/PG101-161_08_th.jpg
gemphotos0027,PG101-161_09,University of Idaho Department of Home Economics classes [8],"Foreign student from the Philippines, Getrude Vallejos (middle), making a donation to the Department of Home Economics in the company of Margret Ritchie (right), Professor of Home Economics at the University of Idaho, and an unidentified student (left) at a dining table. Vallejos is wearing a white gown and floral boutonniere. A certificate of the donation is in the hands of the woman on the left.",1953-05-28,,,women; social sciences; students; faculty; event; group portraits; home economics,,,,"PG 101, University of Idaho Gem of the Mountains Photograph Collection",eng,PG101-161_09.jpg,Image;StillImage,image/jpeg,black and white negative,Gem of the Mountain Yearbook Photographs,University of Idaho Library Special Collections and Archives,"Educational use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/gemphotos/PG101-161_09.jpg,https://www.lib.uidaho.edu/digital/objects/gemphotos/small/PG101-161_09_sm.jpg,https://www.lib.uidaho.edu/digital/objects/gemphotos/thumbs/PG101-161_09_th.jpg
gemphotos0028,PG101-161_12a,University of Idaho Department of Home Economics classes [9],"Foreign student from the Philippines, Getrude Vallejos (middle), making a donation to the Department of Home Economics in the company of an unidentified faculty member and an unidentified student (left) at a dining table. Vallejos is wearing a white gown and floral boutonniere. A certificate of the donation is in the hands of the woman on the left.",1953-05-28,,,women; social sciences; students; faculty; event; group portraits; home economics; gifts,,,,"PG 101, University of Idaho Gem of the Mountains Photograph Collection",eng,PG101-161_12a.jpg,Image;StillImage,image/jpeg,black and white negative,Gem of the Mountain Yearbook Photographs,University of Idaho Library Special Collections and Archives,"Educational use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/gemphotos/PG101-161_12a.jpg,https://www.lib.uidaho.edu/digital/objects/gemphotos/small/PG101-161_12a_sm.jpg,https://www.lib.uidaho.edu/digital/objects/gemphotos/thumbs/PG101-161_12a_th.jpg
