objectid,title,creator,date,archival date,description,fiddler_name,championship_dates,subject,location,latitude,longitude,identifier,filename,source,type,format original,format,finding aid,digital collection,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb
fiddlers011,"Weiser Contest 1980 (Tape 7, Side 2)",National Oldtime Fiddle Contest and Festival Organization,1980-06,June 1980,"Performances by John Francis, Lorretta Brain, Tamy Daughty and more; note that handwritten track notes on recording case do not match with taped recording",John Francis; Lorretta Brain; Tamy Daughty,,instrument; performance; competition; music,"Weiser, Idaho",,,weisercontest1980tape07_side2,weisercontest_1980_tape07_side2.mp3,"Lyle J. Reed collection, MG 573, University of Idaho Library Special Collections and Archives",Sound,reel,audio/mp3,https://archiveswest.orbiscascade.org/ark:80444/xv425711,National Oldtime Fiddle Contest and Festival,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,audio,https://www.lib.uidaho.edu/digital/objects/fiddlers/weisercontest_1980_tape07_side2.mp3,,
fiddlers012,"Weiser Contest 1982 (Tape 2, Side 1)",National Oldtime Fiddle Contest and Festival Organization,1982-06,June 1982,"Performances by Dick Barret, Randy Sloan, Sherryl Wolf, and more",Dick Barrett; Randy Sloan; Sherryl Wolf,,instrument; performance; competition; music,"Weiser, Idaho",,,weisercontest1982tape02_side1,weisercontest_1982_tape02_side1.mp3,"Lyle J. Reed collection, MG 573, University of Idaho Library Special Collections and Archives",Sound,reel,audio/mp3,https://archiveswest.orbiscascade.org/ark:80444/xv425711,National Oldtime Fiddle Contest and Festival,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,audio,https://www.lib.uidaho.edu/digital/objects/fiddlers/weisercontest_1982_tape02_side1.mp3,,
fiddlers013,"Weiser Contest 1982 (Tape 2, Side 2)",National Oldtime Fiddle Contest and Festival Organization,1982-06,June 1982,"Performances by Matt Hartz, Tiffany Wheeler and more",Matt Hartz; Tiffany Wheeler,,instrument; performance; competition; music,"Weiser, Idaho",,,weisercontest1982tape02_side2,weisercontest_1982_tape02_side2.mp3,"Lyle J. Reed collection, MG 573, University of Idaho Library Special Collections and Archives",Sound,reel,audio/mp3,https://archiveswest.orbiscascade.org/ark:80444/xv425711,National Oldtime Fiddle Contest and Festival,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,audio,https://www.lib.uidaho.edu/digital/objects/fiddlers/weisercontest_1982_tape02_side2.mp3,,
fiddlers014,"Weiser Contest 1983 (Tape 7, Side 1)",National Oldtime Fiddle Contest and Festival Organization,1983-06,June 1983,"Performances by JD Ludiker, Nolan James, Mark O'Connor.",JD Ludiker; Nolan James; Mark O'Connor,,instrument; performance; competition; music,"Weiser, Idaho",,,weisercontest1983tape07_side1,weisercontest_1983_tape07_side1.mp3,"Lyle J. Reed collection, MG 573, University of Idaho Library Special Collections and Archives",Sound,reel,audio/mp3,https://archiveswest.orbiscascade.org/ark:80444/xv425711,National Oldtime Fiddle Contest and Festival,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,audio,https://www.lib.uidaho.edu/digital/objects/fiddlers/weisercontest_1983_tape07_side1.mp3,,
fiddlers015,"Weiser Contest 1983 (Tape 7, Side 2)",National Oldtime Fiddle Contest and Festival Organization,1983-06,June 1983,"Performances by Tony Ludiker, Mark O'Connor, John Francis, Lorretta Brant and more.",Tony Ludiker; Mark O'Connor; John Francis; Lorretta Brant,,instrument; performance; competition; music,"Weiser, Idaho",,,weisercontest1983tape07_side2,weisercontest_1983_tape07_side2.mp3,"Lyle J. Reed collection, MG 573, University of Idaho Library Special Collections and Archives",Sound,reel,audio/mp3,https://archiveswest.orbiscascade.org/ark:80444/xv425711,National Oldtime Fiddle Contest and Festival,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,audio,https://www.lib.uidaho.edu/digital/objects/fiddlers/weisercontest_1983_tape07_side2.mp3,,
fiddlers016,"Weiser Contest 1984 (Tape 1, Side 1)",National Oldtime Fiddle Contest and Festival Organization,1984-06,June 1984,"Performances by Marvin Johnson, Ed Zona, Jack Smith and more",Marvin Johnson; Ed Zona; Jack Smith,,instrument; performance; competition; music,"Weiser, Idaho",,,weisercontest1984tape01_side1,weisercontest_1984_tape01_side1.mp3,"Lyle J. Reed collection, MG 573, University of Idaho Library Special Collections and Archives",Sound,reel,audio/mp3,https://archiveswest.orbiscascade.org/ark:80444/xv425711,National Oldtime Fiddle Contest and Festival,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,audio,https://www.lib.uidaho.edu/digital/objects/fiddlers/weisercontest_1984_tape01_side1.mp3,,
fiddlers017,"Weiser Contest 1984 (Tape 1, Side 2)",National Oldtime Fiddle Contest and Festival Organization,1984-06,June 1984,"Performances by Clyde Klamer, Lubin Jorgens, Bill Benett and more",Clyde Klamer; Lubin Jorgens; Bill Benett,,instrument; performance; competition; music,"Weiser, Idaho",,,weisercontest1984tape01_side2,weisercontest_1984_tape01_side2.mp3,"Lyle J. Reed collection, MG 573, University of Idaho Library Special Collections and Archives",Sound,reel,audio/mp3,https://archiveswest.orbiscascade.org/ark:80444/xv425711,National Oldtime Fiddle Contest and Festival,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,audio,https://www.lib.uidaho.edu/digital/objects/fiddlers/weisercontest_1984_tape01_side2.mp3,,
fiddlers018,"Weiser Contest 1985 (Tape 2, Side 1)",National Oldtime Fiddle Contest and Festival Organization,1985-06,June 1985,"Performances by Melissa Harley, Michale Aisly, Megan Lynch and more",Melissa Harley; Michale Aisly; Megan Lynch,,instrument; performance; competition; music,"Weiser, Idaho",,,weisercontest1985tape02_side1,weisercontest_1985_tape02_side1.mp3,"Lyle J. Reed collection, MG 573, University of Idaho Library Special Collections and Archives",Sound,reel,audio/mp3,https://archiveswest.orbiscascade.org/ark:80444/xv425711,National Oldtime Fiddle Contest and Festival,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,audio,https://www.lib.uidaho.edu/digital/objects/fiddlers/weisercontest_1985_tape02_side1.mp3,,
fiddlers019,"Weiser Contest 1985 (Tape 2, Side 2)",National Oldtime Fiddle Contest and Festival Organization,1985-06,June 1985,"Performances by Lloyd Wencher, Jim Hoots and more",Loyd Wencher; Jim Hoots,,instrument; performance; competition; music,"Weiser, Idaho",,,weisercontest1985tape02_side2,weisercontest_1985_tape02_side2.mp3,"Lyle J. Reed collection, MG 573, University of Idaho Library Special Collections and Archives",Sound,reel,audio/mp3,https://archiveswest.orbiscascade.org/ark:80444/xv425711,National Oldtime Fiddle Contest and Festival,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,audio,https://www.lib.uidaho.edu/digital/objects/fiddlers/weisercontest_1985_tape02_side2.mp3,,
fiddlers020,"Weiser Contest 1987 (Tape 3, Side 1)",National Oldtime Fiddle Contest and Festival Organization,1987-06,June 1987,"Performances by Clint Gaylord, Luke BUlla, Terry Ludiker, Randy Pollard and more",Clint Gaylord; Luke Bulla; Terry Ludiker; Randy Pollard,,instrument; performance; competition; music,"Weiser, Idaho",,,weisercontest1987tape03_side1,weisercontest_1987_tape03_side1.mp3,"Lyle J. Reed collection, MG 573, University of Idaho Library Special Collections and Archives",Sound,reel,audio/mp3,https://archiveswest.orbiscascade.org/ark:80444/xv425711,National Oldtime Fiddle Contest and Festival,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,audio,https://www.lib.uidaho.edu/digital/objects/fiddlers/weisercontest_1987_tape03_side1.mp3,,
fiddlers021,"Weiser Contest 1987 (Tape 3, Side 2)",National Oldtime Fiddle Contest and Festival Organization,1987-06,June 1987,"Performances by Wade Thomas, Laura Weber and more",Wade Thomas; laura Weber,,instrument; performance; competition; music,"Weiser, Idaho",,,weisercontest1987tape03_side2,weisercontest_1987_tape03_side2.mp3,"Lyle J. Reed collection, MG 573, University of Idaho Library Special Collections and Archives",Sound,reel,audio/mp3,https://archiveswest.orbiscascade.org/ark:80444/xv425711,National Oldtime Fiddle Contest and Festival,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,audio,https://www.lib.uidaho.edu/digital/objects/fiddlers/weisercontest_1987_tape03_side2.mp3,,
fiddlers022,"Weiser Contest 1987 (Tape 4, Side 1)",National Oldtime Fiddle Contest and Festival Organization,1987-06,June 1987,"Performances by Eric Tilmar, Daniel Bates and more",Eric Tilmar; Daniel bates,,instrument; performance; competition; music,"Weiser, Idaho",,,weisercontest1987tape04_side1,weisercontest_1987_tape04_side1.mp3,"Lyle J. Reed collection, MG 573, University of Idaho Library Special Collections and Archives",Sound,reel,audio/mp3,https://archiveswest.orbiscascade.org/ark:80444/xv425711,National Oldtime Fiddle Contest and Festival,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,audio,https://www.lib.uidaho.edu/digital/objects/fiddlers/weisercontest_1987_tape04_side1.mp3,,
fiddlers023,"Weiser Contest 1987 (Tape 4, Side 2)",National Oldtime Fiddle Contest and Festival Organization,1987-06,June 1987,"Performances by Tiffany Polard, Wade Thomas and more",Tiffany Polard; Wade Thomas,,instrument; performance; competition; music,"Weiser, Idaho",,,weisercontest1987tape04_side2,weisercontest_1987_tape04_side2.mp3,"Lyle J. Reed collection, MG 573, University of Idaho Library Special Collections and Archives",Sound,reel,audio/mp3,https://archiveswest.orbiscascade.org/ark:80444/xv425711,National Oldtime Fiddle Contest and Festival,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,audio,https://www.lib.uidaho.edu/digital/objects/fiddlers/weisercontest_1987_tape04_side2.mp3,,
fiddlers024,Dad Roberts,National Oldtime Fiddle Contest and Festival Organization,1953-06,June 1953,First winner of the Grand National Division in 1953.,Dad Roberts,,champion; winner; contest; music,"Weiser, Idaho",,,"1dadroberts,grandnat53",fiddlers024.jpg,"Photo by Daniel Olortegui, June 2023",Image;StillImage,image,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv425711,National Oldtime Fiddle Contest and Festival,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/fiddlers/fiddlers024.jpg,https://www.lib.uidaho.edu/digital/objects/fiddlers/small/fiddlers024_sm.jpg,https://www.lib.uidaho.edu/digital/objects/fiddlers/thumbs/fiddlers024_th.jpg
fiddlers025,Clarence Kemble,National Oldtime Fiddle Contest and Festival Organization,1954-06,June 1954,"Winner of the most important division of the Oldtime Fiddler Contest, Grand National Division in 1954.",Clarence Kemble,,champion; winner; contest; music,"Weiser, Idaho",,,"2clarencekemble,grandnat54",fiddlers025.jpg,"Photo by Daniel Olortegui, June 2023",Image;StillImage,image,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv425711,National Oldtime Fiddle Contest and Festival,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/fiddlers/fiddlers025.jpg,https://www.lib.uidaho.edu/digital/objects/fiddlers/small/fiddlers025_sm.jpg,https://www.lib.uidaho.edu/digital/objects/fiddlers/thumbs/fiddlers025_th.jpg
fiddlers026,James Widner [1],National Oldtime Fiddle Contest and Festival Organization,1956-06,June 1955; June 1956,"Winner of the most important division of the Oldtime Fiddler Contest, Grand National Division in 1955 and 1956.",James Widner,1955-06; 1956-06,champion; winner; contest; music,"Weiser, Idaho",,,"3jameswidnergrandnat55,56",fiddlers026.jpg,"Photo by Daniel Olortegui, June 2023",Image;StillImage,image,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv425711,National Oldtime Fiddle Contest and Festival,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/fiddlers/fiddlers026.jpg,https://www.lib.uidaho.edu/digital/objects/fiddlers/small/fiddlers026_sm.jpg,https://www.lib.uidaho.edu/digital/objects/fiddlers/thumbs/fiddlers026_th.jpg
