objectid,filename,title,creator,date,archival date,description,subject,location,latitude,longitude,source,type,format original,format,findingaid,digital collection,contributing institution,language,rights,rightsstatement,display_template,identifier,object_location,image_small,image_thumb,old-filename
fiddlers011,weisercontest1980tape07_side2.mp3,"Weiser Contest 1980 (Tape 7, Side 2)",National Oldtime Fiddle Contest and Festival Organization,1980-06,June 1980,"Performance of John Francis, Lorretta Brain, Tamy Daughty and more ",National;  oldtime;  fiddler;  grand national;  small fry;  junior;  senior;  ladies;  men;  junior junior,"Weiser, Idaho",44.2510 N,116.9693 W,"Lyle J. Reed collection, 1964-1987, MG 573, University of Idaho Library Special Collections and Archives",sound,reel,audio/mp3,https://archiveswest.orbiscascade.org/ark:80444/xv425711,National Oldtime Fiddle Contest and Festival,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,audio,weisercontest1980tape07_side2,https://www.lib.uidaho.edu/digital/objects/fiddlers/weisercontest1980tape07_side2.mp3,,,weisercontest1980tape07_side2.mp3
fiddlers012,weisercontest1982tape02_side1.mp3,"Weiser Contest 1982 (Tape 2, Side 1)",National Oldtime Fiddle Contest and Festival Organization,1982-06,June 1982,"Performance of Dick Barret, Randy Sloan, Sherryl Wolf, and more",National;  oldtime;  fiddler;  grand national;  small fry;  junior;  senior;  ladies;  men;  junior junior,"Weiser, Idaho",44.2510 N,116.9693 W,"Lyle J. Reed collection, 1964-1987, MG 573, University of Idaho Library Special Collections and Archives",sound,reel,audio/mp3,https://archiveswest.orbiscascade.org/ark:80444/xv425711,National Oldtime Fiddle Contest and Festival,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,audio,weisercontest1982tape02_side1,https://www.lib.uidaho.edu/digital/objects/fiddlers/weisercontest1982tape02_side1.mp3,,,weisercontest1982tape02_side1.mp3
fiddlers013,weisercontest1982tape02_side2.mp3,"Weiser Contest 1982 (Tape 2, Side 2)",National Oldtime Fiddle Contest and Festival Organization,1982-06,June 1982,"Performance of Matt Hartz, Tiffany Wheeler and more",National;  oldtime;  fiddler;  grand national;  small fry;  junior;  senior;  ladies;  men;  junior junior,"Weiser, Idaho",44.2510 N,116.9693 W,"Lyle J. Reed collection, 1964-1987, MG 573, University of Idaho Library Special Collections and Archives",sound,reel,audio/mp3,https://archiveswest.orbiscascade.org/ark:80444/xv425711,National Oldtime Fiddle Contest and Festival,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,audio,weisercontest1982tape02_side2,https://www.lib.uidaho.edu/digital/objects/fiddlers/weisercontest1982tape02_side2.mp3,,,weisercontest1982tape02_side2.mp3
fiddlers014,weisercontest1983tape07_side1.mp3,"Weiser Contest 1983 (Tape 7, Side 1)",National Oldtime Fiddle Contest and Festival Organization,1983-06,June 1983,"Performance of JD Ludiker, Nolan James, Mark O'Connor.",National;  oldtime;  fiddler;  grand national;  small fry;  junior;  senior;  ladies;  men;  junior junior,"Weiser, Idaho",44.2510 N,116.9693 W,"Lyle J. Reed collection, 1964-1987, MG 573, University of Idaho Library Special Collections and Archives",sound,reel,audio/mp3,https://archiveswest.orbiscascade.org/ark:80444/xv425711,National Oldtime Fiddle Contest and Festival,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,audio,weisercontest1983tape07_side1,https://www.lib.uidaho.edu/digital/objects/fiddlers/weisercontest1983tape07_side1.mp3,,,weisercontest1983tape07_side1.mp3
fiddlers015,weisercontest1983tape07_side2.mp3,"Weiser Contest 1983 (Tape 7, Side 2)",National Oldtime Fiddle Contest and Festival Organization,1983-06,June 1983,"Performance of Tony Ludiker, Mark O'Connor, John Francis, Lorretta Brant and more.",National;  oldtime;  fiddler;  grand national;  small fry;  junior;  senior;  ladies;  men;  junior junior,"Weiser, Idaho",44.2510 N,116.9693 W,"Lyle J. Reed collection, 1964-1987, MG 573, University of Idaho Library Special Collections and Archives",sound,reel,audio/mp3,https://archiveswest.orbiscascade.org/ark:80444/xv425711,National Oldtime Fiddle Contest and Festival,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,audio,weisercontest1983tape07_side2,https://www.lib.uidaho.edu/digital/objects/fiddlers/weisercontest1983tape07_side2.mp3,,,weisercontest1983tape07_side2.mp3
fiddlers016,weisercontest1984tape01_side1.mp3,"Weiser Contest 1984 (Tape 1, Side 1)",National Oldtime Fiddle Contest and Festival Organization,1984-06,June 1984,"Performance of Marvin Jhonson, Ed Zona, Jack Smith and more",National;  oldtime;  fiddler;  grand national;  small fry;  junior;  senior;  ladies;  men;  junior junior,"Weiser, Idaho",44.2510 N,116.9693 W,"Lyle J. Reed collection, 1964-1987, MG 573, University of Idaho Library Special Collections and Archives",sound,reel,audio/mp3,https://archiveswest.orbiscascade.org/ark:80444/xv425711,National Oldtime Fiddle Contest and Festival,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,audio,weisercontest1984tape01_side1,https://www.lib.uidaho.edu/digital/objects/fiddlers/weisercontest1984tape01_side1.mp3,,,weisercontest1984tape01_side1.mp3
fiddlers017,weisercontest1984tape01_side2.mp3,"Weiser Contest 1984 (Tape 1, Side 2)",National Oldtime Fiddle Contest and Festival Organization,1984-06,June 1984,"Performance of Clyde Klamer, Lubin Jorgens, Bill Benett and more",National;  oldtime;  fiddler;  grand national;  small fry;  junior;  senior;  ladies;  men;  junior junior,"Weiser, Idaho",44.2510 N,116.9693 W,"Lyle J. Reed collection, 1964-1987, MG 573, University of Idaho Library Special Collections and Archives",sound,reel,audio/mp3,https://archiveswest.orbiscascade.org/ark:80444/xv425711,National Oldtime Fiddle Contest and Festival,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,audio,weisercontest1984tape01_side2,https://www.lib.uidaho.edu/digital/objects/fiddlers/weisercontest1984tape01_side2.mp3,,,weisercontest1984tape01_side2.mp3
fiddlers018,weisercontest1985tape02_side1.mp3,"Weiser Contest 1985 (Tape 2, Side 1)",National Oldtime Fiddle Contest and Festival Organization,1985-06,June 1985,"Performance of Melissa Harley, Michale Aisly, Megan Lynch and more",National;  oldtime;  fiddler;  grand national;  small fry;  junior;  senior;  ladies;  men;  junior junior,"Weiser, Idaho",44.2510 N,116.9693 W,"Lyle J. Reed collection, 1964-1987, MG 573, University of Idaho Library Special Collections and Archives",sound,reel,audio/mp3,https://archiveswest.orbiscascade.org/ark:80444/xv425711,National Oldtime Fiddle Contest and Festival,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,audio,weisercontest1985tape02_side1,https://www.lib.uidaho.edu/digital/objects/fiddlers/weisercontest1985tape02_side1.mp3,,,weisercontest1985tape02_side1.mp3
fiddlers019,weisercontest1985tape02_side2.mp3,"Weiser Contest 1985 (Tape 2, Side 2)",National Oldtime Fiddle Contest and Festival Organization,1985-06,June 1985,"Performance of Loyd Wencher, Jim Hoots and more",National;  oldtime;  fiddler;  grand national;  small fry;  junior;  senior;  ladies;  men;  junior junior,"Weiser, Idaho",44.2510 N,116.9693 W,"Lyle J. Reed collection, 1964-1987, MG 573, University of Idaho Library Special Collections and Archives",sound,reel,audio/mp3,https://archiveswest.orbiscascade.org/ark:80444/xv425711,National Oldtime Fiddle Contest and Festival,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,audio,weisercontest1985tape02_side2,https://www.lib.uidaho.edu/digital/objects/fiddlers/weisercontest1985tape02_side2.mp3,,,weisercontest1985tape02_side2.mp3
fiddlers020,weisercontest1987tape03_side1.mp3,"Weiser Contest 1987 (Tape 3, Side 1)",National Oldtime Fiddle Contest and Festival Organization,1987-06,June 1987,"Performance of Clint Gaylord, Luke BUlla, Terry Ludiker, Randy Pollard and more",National;  oldtime;  fiddler;  grand national;  small fry;  junior;  senior;  ladies;  men;  junior junior,"Weiser, Idaho",44.2510 N,116.9693 W,"Lyle J. Reed collection, 1964-1987, MG 573, University of Idaho Library Special Collections and Archives",sound,reel,audio/mp3,https://archiveswest.orbiscascade.org/ark:80444/xv425711,National Oldtime Fiddle Contest and Festival,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,audio,weisercontest1987tape03_side1,https://www.lib.uidaho.edu/digital/objects/fiddlers/weisercontest1987tape03_side1.mp3,,,weisercontest1987tape03_side1.mp3
fiddlers021,weisercontest1987tape03_side2.mp3,"Weiser Contest 1987 (Tape 3, Side 2)",National Oldtime Fiddle Contest and Festival Organization,1987-06,June 1987,"Performance of Wade Thomas, laura Weber and more",National;  oldtime;  fiddler;  grand national;  small fry;  junior;  senior;  ladies;  men;  junior junior,"Weiser, Idaho",44.2510 N,116.9693 W,"Lyle J. Reed collection, 1964-1987, MG 573, University of Idaho Library Special Collections and Archives",sound,reel,audio/mp3,https://archiveswest.orbiscascade.org/ark:80444/xv425711,National Oldtime Fiddle Contest and Festival,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,audio,weisercontest1987tape03_side2,https://www.lib.uidaho.edu/digital/objects/fiddlers/weisercontest1987tape03_side2.mp3,,,weisercontest1987tape03_side2.mp3
fiddlers022,weisercontest1987tape04_side1.mp3,"Weiser Contest 1987 (Tape 4, Side 1)",National Oldtime Fiddle Contest and Festival Organization,1987-06,June 1987,"Performance Eric Tilmar, Daniel bates and more",National;  oldtime;  fiddler;  grand national;  small fry;  junior;  senior;  ladies;  men;  junior junior,"Weiser, Idaho",44.2510 N,116.9693 W,"Lyle J. Reed collection, 1964-1987, MG 573, University of Idaho Library Special Collections and Archives",sound,reel,audio/mp3,https://archiveswest.orbiscascade.org/ark:80444/xv425711,National Oldtime Fiddle Contest and Festival,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,audio,weisercontest1987tape04_side1,https://www.lib.uidaho.edu/digital/objects/fiddlers/weisercontest1987tape04_side1.mp3,,,weisercontest1987tape04_side1.mp3
fiddlers023,weisercontest1987tape04_side2.mp3,"Weiser Contest 1987 (Tape 4, Side 2)",National Oldtime Fiddle Contest and Festival Organization,1987-06,June 1987,"Performance Tiffany Polard, Wade Thomas and more",National;  oldtime;  fiddler;  grand national;  small fry;  junior;  senior;  ladies;  men;  junior junior,"Weiser, Idaho",44.2510 N,116.9693 W,"Lyle J. Reed collection, 1964-1987, MG 573, University of Idaho Library Special Collections and Archives",sound,reel,audio/mp3,https://archiveswest.orbiscascade.org/ark:80444/xv425711,National Oldtime Fiddle Contest and Festival,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,audio,weisercontest1987tape04_side2,https://www.lib.uidaho.edu/digital/objects/fiddlers/weisercontest1987tape04_side2.mp3,,,weisercontest1987tape04_side2.mp3
fiddlers024,"1dadroberts,grandnat53.jpg",Grand National Champion - Dad Roberts,National Oldtime Fiddle Contest and Festival Organization,1953-06,June 1953,First winner of the Grand National Division in 1953.,National;  oldtime;  fiddler;  grand national;  small fry;  junior;  senior;  ladies;  men;  junior junior,"Weiser, Idaho",44.2510 N,116.9693 W,"Lyle J. Reed collection, 1964-1987, MG 573, University of Idaho Library Special Collections and Archives",Image,image,image/jpg,https://archiveswest.orbiscascade.org/ark:80444/xv425711,National Oldtime Fiddle Contest and Festival,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,"1dadroberts,grandnat53","https://www.lib.uidaho.edu/digital/objects/fiddlers/1dadroberts,grandnat53.jpg","https://www.lib.uidaho.edu/digital/objects/fiddlers/small/1dadroberts,grandnat53_sm.jpg","https://www.lib.uidaho.edu/digital/objects/fiddlers/thumbs/1dadroberts,grandnat53_th.jpg","1DadRoberts,GrandNat53.jpg"
fiddlers025,"2clarencekemble,grandnat54.jpg",Grand National Champion - Clarence Kemble,National Oldtime Fiddle Contest and Festival Organization,1954-06,June 1954,"Winner of the most important division of the Oldtime Fiddler Contest, Grand National Division in 1954.",National;  oldtime;  fiddler;  grand national;  champion,"Weiser, Idaho",44.2510 N,116.9693 W,"Lyle J. Reed collection, 1964-1987, MG 573, University of Idaho Library Special Collections and Archives",Image,image,image/jpg,https://archiveswest.orbiscascade.org/ark:80444/xv425711,National Oldtime Fiddle Contest and Festival,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,"2clarencekemble,grandnat54","https://www.lib.uidaho.edu/digital/objects/fiddlers/2clarencekemble,grandnat54.jpg","https://www.lib.uidaho.edu/digital/objects/fiddlers/small/2clarencekemble,grandnat54_sm.jpg","https://www.lib.uidaho.edu/digital/objects/fiddlers/thumbs/2clarencekemble,grandnat54_th.jpg","2ClarenceKemble,GrandNat54.jpg"
