objectid,filename,title,creator,date,date is approximate,description,subject,location,latitude,longitude,source,identifier,type,format original,format,digital collection,contributing institution,language,rights,rightsstatement,object_location,image_small,image_thumb,display_template
ames011,ug73_b08_f02-006.jpg,M.F.A. candidates art show event poster,"Ames, Leo",1970,y,"Orange poster advertising M.F.A. candidates' art shows for Jerry Eveland, Brian Sprague, and Jackson Hirota, in various places on campus, with an opening at the Alumni Center. The decorative words ""Art Show"" in half circles frame the text.",exhibitions (events),University of Idaho,46.72908448,-117.0126084,"UG 73, Leo Ames Papers",ug73_b08_f02-006,Image;StillImage,poster,image/jpeg,Leo Ames Papers,University of Idaho Library Special Collections and Archives,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,https://www.lib.uidaho.edu/digital/objects/ames/ug73_b08_f02-006.jpg,https://www.lib.uidaho.edu/digital/objects/ames/small/ug73_b08_f02-006_sm.jpg,https://www.lib.uidaho.edu/digital/objects/ames/thumbs/ug73_b08_f02-006_th.jpg,image
ames012,ug73_b08_f02-007.jpg,M.F.A. candidates art show readings poster,"Ames, Leo",1970,y,"Lime green poster advertising M.F.A. shows in various places on campus including the Art and Architecture Gallery and the Alumni Center Lounge. The decorative words ""Art Show"" in half circles frame the text.",exhibitions (events),University of Idaho,46.72908448,-117.0126084,"UG 73, Leo Ames Papers",ug73_b08_f02-007,Image;StillImage,poster,image/jpeg,Leo Ames Papers,University of Idaho Library Special Collections and Archives,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,https://www.lib.uidaho.edu/digital/objects/ames/ug73_b08_f02-007.jpg,https://www.lib.uidaho.edu/digital/objects/ames/small/ug73_b08_f02-007_sm.jpg,https://www.lib.uidaho.edu/digital/objects/ames/thumbs/ug73_b08_f02-007_th.jpg,image
ames013,ug73_b08_f02-008.jpg,Physical education for women poster,"Ames, Leo",1970,y,"Black poster with white text of a quote by 'Abdu'l-Bahá, ""The mind cannot remain depressed while the body is in motion."" A white abstract illustration made up on smaller marks is above the text.",women,,,,"UG 73, Leo Ames Papers",ug73_b08_f02-008,Image;StillImage,poster,image/jpeg,Leo Ames Papers,University of Idaho Library Special Collections and Archives,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,https://www.lib.uidaho.edu/digital/objects/ames/ug73_b08_f02-008.jpg,https://www.lib.uidaho.edu/digital/objects/ames/small/ug73_b08_f02-008_sm.jpg,https://www.lib.uidaho.edu/digital/objects/ames/thumbs/ug73_b08_f02-008_th.jpg,image
ames014,ug73_b08_f02-009.jpg,Borah Symposium 1981,"Ames, Leo",1981,,"Black poster with gray and white text advertising the 1981 Borah symposium titled, ""U.S.- Soviet Relations in the '80s: Quest for Supremacy?"" A red illustration of a splotch of blood and a small white dove icon is above the text.",politics; international relations,,,,"UG 73, Leo Ames Papers",ug73_b08_f02-009,Image;StillImage,poster,image/jpeg,Leo Ames Papers,University of Idaho Library Special Collections and Archives,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,https://www.lib.uidaho.edu/digital/objects/ames/ug73_b08_f02-009.jpg,https://www.lib.uidaho.edu/digital/objects/ames/small/ug73_b08_f02-009_sm.jpg,https://www.lib.uidaho.edu/digital/objects/ames/thumbs/ug73_b08_f02-009_th.jpg,image
ames015,ug73_b08_f02-010.jpg,Tournament of the Vandals,"Ames, Leo",1970,y,Poster advertising the tournament of the Vandals and homecoming week. A blue and orange logo is in the right top corner and an orange illustration of a Vandal is next to the text listing the various events. ,universities (institutions); sports,"Rogers Stadium, Pullman",46.7321338,-117.1628174,"UG 73, Leo Ames Papers",ug73_b08_f02-010,Image;StillImage,poster,image/jpeg,Leo Ames Papers,University of Idaho Library Special Collections and Archives,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,https://www.lib.uidaho.edu/digital/objects/ames/ug73_b08_f02-010.jpg,https://www.lib.uidaho.edu/digital/objects/ames/small/ug73_b08_f02-010_sm.jpg,https://www.lib.uidaho.edu/digital/objects/ames/thumbs/ug73_b08_f02-010_th.jpg,image
ames016,ug73_b08_f02-011.jpg,The 5th dimension in concert,"Ames, Leo",1970,y,"Blue poster with magenta text advertising the musical group, the 5th Dimension, in concert.",concerts (performances); ensembles (musical groups),"Memorial Gym, University of Idaho",46.72665114,-117.0137973,"UG 73, Leo Ames Papers",ug73_b08_f02-011,Image;StillImage,poster,image/jpeg,Leo Ames Papers,University of Idaho Library Special Collections and Archives,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,https://www.lib.uidaho.edu/digital/objects/ames/ug73_b08_f02-011.jpg,https://www.lib.uidaho.edu/digital/objects/ames/small/ug73_b08_f02-011_sm.jpg,https://www.lib.uidaho.edu/digital/objects/ames/thumbs/ug73_b08_f02-011_th.jpg,image
ames017,ug73_b08_f02-012.jpg,Johnny Rivers in concert,"Ames, Leo",1970,y,Pink poster with purple text and photograph of Johnny Rivers. ,concerts (performances); singers,"Memorial Gym, University of Idaho",46.72665114,-117.0137973,"UG 73, Leo Ames Papers",ug73_b08_f02-012,Image;StillImage,poster,image/jpeg,Leo Ames Papers,University of Idaho Library Special Collections and Archives,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,https://www.lib.uidaho.edu/digital/objects/ames/ug73_b08_f02-012.jpg,https://www.lib.uidaho.edu/digital/objects/ames/small/ug73_b08_f02-012_sm.jpg,https://www.lib.uidaho.edu/digital/objects/ames/thumbs/ug73_b08_f02-012_th.jpg,image
ames018,ug73_b08_f02-013.jpg,"Dances I Dance, Betty Jones and Fritz Lüdin in concert","Ames, Leo",1970,y,Yellow poster with dark blue text advertising a Betty Jones and Fritz Lüdin dance performance. Next the text is an image of two dancers in dark blue. ,dancers; concerts (performances),"University of Idaho Auditorium, University of Idaho",46.72645135,-117.0067156,"UG 73, Leo Ames Papers",ug73_b08_f02-013,Image;StillImage,poster,image/jpeg,Leo Ames Papers,University of Idaho Library Special Collections and Archives,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,https://www.lib.uidaho.edu/digital/objects/ames/ug73_b08_f02-013.jpg,https://www.lib.uidaho.edu/digital/objects/ames/small/ug73_b08_f02-013_sm.jpg,https://www.lib.uidaho.edu/digital/objects/ames/thumbs/ug73_b08_f02-013_th.jpg,image
ames019,ug73_b08_f02-014.jpg,Domestic student exchange program poster,"Ames, Leo",1970,y,Poster advertising the Domestic Student Exchange Program with green and blue text and an illustration of two leaves.,college students,"Student Union Building, University of Idaho",46.73063194,-117.0080069,"UG 73, Leo Ames Papers",ug73_b08_f02-014,Image;StillImage,poster,image/jpeg,Leo Ames Papers,University of Idaho Library Special Collections and Archives,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,https://www.lib.uidaho.edu/digital/objects/ames/ug73_b08_f02-014.jpg,https://www.lib.uidaho.edu/digital/objects/ames/small/ug73_b08_f02-014_sm.jpg,https://www.lib.uidaho.edu/digital/objects/ames/thumbs/ug73_b08_f02-014_th.jpg,image
ames020,ug73_b08_f02-015.jpg,Karin Hurdstrom benefit concert poster,"Ames, Leo",1968,,"Poster advertising a F.P.A.C. benefit concert featuring Karin Hurdstrom. An illustration of Hurdstrom is on the left, some smaller thumbnail images of Hurdstrom in performance are on the top right corner. ",opera singers; concerts (performances),"Memorial Gym, University of Idaho",46.72665114,-117.0137973,"UG 73, Leo Ames Papers",ug73_b08_f02-015,Image;StillImage,poster,image/jpeg,Leo Ames Papers,University of Idaho Library Special Collections and Archives,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,https://www.lib.uidaho.edu/digital/objects/ames/ug73_b08_f02-015.jpg,https://www.lib.uidaho.edu/digital/objects/ames/small/ug73_b08_f02-015_sm.jpg,https://www.lib.uidaho.edu/digital/objects/ames/thumbs/ug73_b08_f02-015_th.jpg,image
ames021,ug73_b08_f02-016.jpg,Rural woman: a visual interpretation,"Ames, Leo",1970,y,Poster advertising the Rural Women's History Project with photographs by Julia P. Petz and Carole Berg at the Bookpeople of Moscow.,women; exhibition installation photography,"Moscow, Idaho",46.73200915,-116.9982227,"UG 73, Leo Ames Papers",ug73_b08_f02-016,Image;StillImage,poster,image/jpeg,Leo Ames Papers,University of Idaho Library Special Collections and Archives,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,https://www.lib.uidaho.edu/digital/objects/ames/ug73_b08_f02-016.jpg,https://www.lib.uidaho.edu/digital/objects/ames/small/ug73_b08_f02-016_sm.jpg,https://www.lib.uidaho.edu/digital/objects/ames/thumbs/ug73_b08_f02-016_th.jpg,image
ames022,ug73_b08_f02-017.jpg,University of Idaho faculty string trio poster,"Ames, Leo",1970,y,"Yellow poster with pink text and photographs of the University of Idaho Faculty String Trio members, Howard Jones, LeRoy Bauer, and Brice Farrar. ",ensembles (musical groups); concerts (performances),,,,"UG 73, Leo Ames Papers",ug73_b08_f02-017,Image;StillImage,poster,image/jpeg,Leo Ames Papers,University of Idaho Library Special Collections and Archives,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,https://www.lib.uidaho.edu/digital/objects/ames/ug73_b08_f02-017.jpg,https://www.lib.uidaho.edu/digital/objects/ames/small/ug73_b08_f02-017_sm.jpg,https://www.lib.uidaho.edu/digital/objects/ames/thumbs/ug73_b08_f02-017_th.jpg,image
ames023,ug73_b08_f02-018.jpg,Opera workshop poster,"Ames, Leo",1970,y,Yellow poster advertising the North Idaho Music Enrichment Program opera workshop with gray photographs and text of opera performers. ,ensembles (musical groups); opera singers; concerts (performances),,,,"UG 73, Leo Ames Papers",ug73_b08_f02-018,Image;StillImage,poster,image/jpeg,Leo Ames Papers,University of Idaho Library Special Collections and Archives,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,https://www.lib.uidaho.edu/digital/objects/ames/ug73_b08_f02-018.jpg,https://www.lib.uidaho.edu/digital/objects/ames/small/ug73_b08_f02-018_sm.jpg,https://www.lib.uidaho.edu/digital/objects/ames/thumbs/ug73_b08_f02-018_th.jpg,image
ames024,ug73_b08_f02-019.jpg,Sandra Hahn presents the history of the keyboard,"Ames, Leo",1970,y,"Light orange poster advertising the ""History of the Keyboard."" The text is overlaid over the image of a musical score.",ensembles (musical groups); concerts (performances),,,,"UG 73, Leo Ames Papers",ug73_b08_f02-019,Image;StillImage,poster,image/jpeg,Leo Ames Papers,University of Idaho Library Special Collections and Archives,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,https://www.lib.uidaho.edu/digital/objects/ames/ug73_b08_f02-019.jpg,https://www.lib.uidaho.edu/digital/objects/ames/small/ug73_b08_f02-019_sm.jpg,https://www.lib.uidaho.edu/digital/objects/ames/thumbs/ug73_b08_f02-019_th.jpg,image
ames025,ug73_b08_f02-020.jpg,Photographs by Mike Lundstrom,"Ames, Leo",1973,y,"Poster advertising a photography exhibition by Mike Lundstrom. The text is overlaid over one of Lundstrom's photographs depicting the side of a building with a door, window, and boxes.",exhibitions (events); exhibition installation photography,"University of Idaho Museum, University of Idaho",46.72645135,-117.0067156,"UG 73, Leo Ames Papers",ug73_b08_f02-020,Image;StillImage,poster,image/jpeg,Leo Ames Papers,University of Idaho Library Special Collections and Archives,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,https://www.lib.uidaho.edu/digital/objects/ames/ug73_b08_f02-020.jpg,https://www.lib.uidaho.edu/digital/objects/ames/small/ug73_b08_f02-020_sm.jpg,https://www.lib.uidaho.edu/digital/objects/ames/thumbs/ug73_b08_f02-020_th.jpg,image
ames026,ug73_b08_f02-021.jpg,Richard Hahn and Sandra Hahn–400 years of the flute,"Ames, Leo",1970,y,Poster advertising a lecture recital by Richard Hahn and Sandra Hahn. Brown photographs of the musicians and text is overlaid over the image of a musical score.,ensembles (musical groups); concerts (performances); lectures,,,,"UG 73, Leo Ames Papers",ug73_b08_f02-021,Image;StillImage,poster,image/jpeg,Leo Ames Papers,University of Idaho Library Special Collections and Archives,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,https://www.lib.uidaho.edu/digital/objects/ames/ug73_b08_f02-021.jpg,https://www.lib.uidaho.edu/digital/objects/ames/small/ug73_b08_f02-021_sm.jpg,https://www.lib.uidaho.edu/digital/objects/ames/thumbs/ug73_b08_f02-021_th.jpg,image
ames027,ug73_b08_f02-022.jpg,Tri Service Charity Ball,"Ames, Leo",1970,y,"Poster advertising a Tri-Service charity ball featuring the band, Tender Green, and sponsored by Army, Navy, and Air Force ROTC. An abstracted illustration made up of green brushstrokes are on the left. ",balls (parties); ensembles (musical groups),"Student Union Ballroom, University of Idaho",46.73063194,-117.0080069,"UG 73, Leo Ames Papers",ug73_b08_f02-022,Image;StillImage,poster,image/jpeg,Leo Ames Papers,University of Idaho Library Special Collections and Archives,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,https://www.lib.uidaho.edu/digital/objects/ames/ug73_b08_f02-022.jpg,https://www.lib.uidaho.edu/digital/objects/ames/small/ug73_b08_f02-022_sm.jpg,https://www.lib.uidaho.edu/digital/objects/ames/thumbs/ug73_b08_f02-022_th.jpg,image
ames028,ug73_b08_f02-023.jpg,Verdi's La Traviata (in English),"Ames, Leo",1976,,Poster advertising a performance of Verdi's La Traviata in English. The text is in purple and on a red and cream-colored background.,ensembles (musical groups); opera singers; concerts (performances),"Performing Arts Center, University of Idaho",46.72645135,-117.0067156,"UG 73, Leo Ames Papers",ug73_b08_f02-023,Image;StillImage,poster,image/jpeg,Leo Ames Papers,University of Idaho Library Special Collections and Archives,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,https://www.lib.uidaho.edu/digital/objects/ames/ug73_b08_f02-023.jpg,https://www.lib.uidaho.edu/digital/objects/ames/small/ug73_b08_f02-023_sm.jpg,https://www.lib.uidaho.edu/digital/objects/ames/thumbs/ug73_b08_f02-023_th.jpg,image
ames029,ug73_b08_f02-024.jpg,R. Buckminster Fuller poster,"Ames, Leo",1977,y,Poster advertising R. Buckminster Fuller as a part of the Pound Lectures in the Humanities with a blue and black illustration of Fuller's face and other icons.,lectures; humanities,,,,"UG 73, Leo Ames Papers",ug73_b08_f02-024,Image;StillImage,poster,image/jpeg,Leo Ames Papers,University of Idaho Library Special Collections and Archives,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,https://www.lib.uidaho.edu/digital/objects/ames/ug73_b08_f02-024.jpg,https://www.lib.uidaho.edu/digital/objects/ames/small/ug73_b08_f02-024_sm.jpg,https://www.lib.uidaho.edu/digital/objects/ames/thumbs/ug73_b08_f02-024_th.jpg,image
