objectid,filename,title,creator,date,date_is_approximate?,description,subject,location,latitude,longitude,source,findingaid,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb
raney11,pg111_1_1-11.jpg,Morrill Hall,Franklin Raney,1940,yes,"Taken from Administration Building with trees and lawn in foreground, Morrill Hall (Center), Life Sciences South (Right), and College of Art and Architecture (left).",campuses,University of Idaho Campus,46.72595,-117.010995,"Franklin Raney photographs, 1927-1942, PG 111, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv118347,pg111_1_1-11,Image;StillImage,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/raney/pg111_1_1-011.jpg,https://www.lib.uidaho.edu/digital/objects/raney/small/pg111_1_1-011_sm.jpg,https://www.lib.uidaho.edu/digital/objects/raney/thumbs/pg111_1_1-011_th.jpg
raney12,pg111_1_1-12.jpg,Campus scene Postcard,Ellis,1940,yes,"Brink Hall (left), Morrill Hall(Center top), College of Art and Architecture(2nd from right), Life Sciences south (right), from corner of University Avenue and Rayburn Street.",campuses,University of Idaho Campus,46.72694,-117.014897,"Franklin Raney photographs, 1927-1942, PG 111, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv118347,pg111_1_1-12,Image;StillImage,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/raney/pg111_1_1-012.jpg,https://www.lib.uidaho.edu/digital/objects/raney/small/pg111_1_1-012_sm.jpg,https://www.lib.uidaho.edu/digital/objects/raney/thumbs/pg111_1_1-012_th.jpg
raney13,pg111_1_1-13.jpg,U of I water tower,Franklin Raney,1940,yes,Looking south across MacLean Field (center down) and forest nursery towards I Tank (center).,stadiums; arboretums; water tanks,University of Idaho Campus,46.725486,-117.013243,"Franklin Raney photographs, 1927-1942, PG 111, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv118347,pg111_1_1-13,Image;StillImage,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/raney/pg111_1_1-013.jpg,https://www.lib.uidaho.edu/digital/objects/raney/small/pg111_1_1-013_sm.jpg,https://www.lib.uidaho.edu/digital/objects/raney/thumbs/pg111_1_1-013_th.jpg
raney14,pg111_1_1-14.jpg,Administration Building,Franklin Raney,1940,yes,"Looking northeast from Arboretum towards Admin Building (center), and MacLean Field (center down).",arboretums; campuses; educational centers (buildings),University of Idaho Campus,46.724706,-117.014082,"Franklin Raney photographs, 1927-1942, PG 111, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv118347,pg111_1_1-14,Image;StillImage,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/raney/pg111_1_1-014.jpg,https://www.lib.uidaho.edu/digital/objects/raney/small/pg111_1_1-014_sm.jpg,https://www.lib.uidaho.edu/digital/objects/raney/thumbs/pg111_1_1-014_th.jpg
raney15,pg111_1_1-15.jpg,"Morrill Hall, home of College of Agriculture and School of Forestry",Franklin Raney,1940,,"Looking north at Morrill Hall (center) from edge of Admin Lawn, College of Art and Architecture (formerly Metallurgical Building, left). Streets and sidewalk are paved, a wooden and wire fence is at the right edge of Admin Lawn, two old cars are near Morril Hall.",stadiums; arboretums; educational centers (buildings),University of Idaho Campus,46.72595,-117.010995,"Franklin Raney photographs, 1927-1942, PG 111, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv118347,pg111_1_1-15,Image;StillImage,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/raney/pg111_1_1-015.jpg,https://www.lib.uidaho.edu/digital/objects/raney/small/pg111_1_1-015_sm.jpg,https://www.lib.uidaho.edu/digital/objects/raney/thumbs/pg111_1_1-015_th.jpg
raney16,pg111_1_1-16.jpg,Blister Rust Laboratory,Franklin Raney,1939,,"Lab within Morrill Hall, looking at glass chemistry equipment.",chemistry laboratories,University of Idaho Campus,46.728034,-117.010995,"Franklin Raney photographs, 1927-1942, PG 111, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv118347,pg111_1_1-16,Image;StillImage,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/raney/pg111_1_1-016.jpg,https://www.lib.uidaho.edu/digital/objects/raney/small/pg111_1_1-016_sm.jpg,https://www.lib.uidaho.edu/digital/objects/raney/thumbs/pg111_1_1-016_th.jpg
raney17,pg111_1_1-17.jpg,Administration Building,Franklin Raney,1940,yes,"Looking east from the Arboretum toward Admin Building (Center Left), Nursery and Arboretum (Center Right).",stadiums; arboretums; educational centers (buildings),University of Idaho Campus,46.724706,-117.014082,"Franklin Raney photographs, 1927-1942, PG 111, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv118347,pg111_1_1-17,Image;StillImage,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/raney/pg111_1_1-017.jpg,https://www.lib.uidaho.edu/digital/objects/raney/small/pg111_1_1-017_sm.jpg,https://www.lib.uidaho.edu/digital/objects/raney/thumbs/pg111_1_1-017_th.jpg
raney18,pg111_1_2.jpg,Morrill Hall,Franklin Raney,1940,yes,Looking north at Morrill Hall from a dirt road next to a paved sidewalk with grass covered hills  and trees on either side. Two old cars are parked in front of the building.,educational centers (buildings),University of Idaho Campus,46.72595,-117.010995,"Franklin Raney photographs, 1927-1942, PG 111, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv118347,pg111_1_2,Image;StillImage,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/raney/pg111_1_2.jpg,https://www.lib.uidaho.edu/digital/objects/raney/small/pg111_1_2_sm.jpg,https://www.lib.uidaho.edu/digital/objects/raney/thumbs/pg111_1_2_th.jpg
raney19,pg111_1_3-3.jpg,Morrill Hall negative,Franklin Raney,1940,yes,"Morrill Hall (Center), Life Sciences South (Right), College of Art and Architecture (left).",educational centers (buildings),University of Idaho Campus,46.72595,-117.010995,"Franklin Raney photographs, 1927-1942, PG 111, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv118347,pg111_1_3-3,Image;StillImage,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/raney/pg111_1_3-003.jpg,https://www.lib.uidaho.edu/digital/objects/raney/small/pg111_1_3-003_sm.jpg,https://www.lib.uidaho.edu/digital/objects/raney/thumbs/pg111_1_3-003_th.jpg
raney20,pg111_1_4-1.jpg,Dr. White,Franklin Raney,1941-02-24,,Professor Dr. White standing outside in front of the Wood Conversion lab.,professors (teachers),University of Idaho Campus,46.728887,-117.01173,"Franklin Raney photographs, 1927-1942, PG 111, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv118347,pg111_1_4-1,Image;StillImage,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/raney/pg111_1_4-001.jpg,https://www.lib.uidaho.edu/digital/objects/raney/small/pg111_1_4-001_sm.jpg,https://www.lib.uidaho.edu/digital/objects/raney/thumbs/pg111_1_4-001_th.jpg
raney21,pg111_1_4-2.jpg,Jean Chandler,Franklin Raney,1939-02-24,,"Jean Chandler, Forestry School Secretary, smiling at the camera, in an office setting.",secretaries (clerical workers),University of Idaho Campus,46.729516,-117.009971,"Franklin Raney photographs, 1927-1942, PG 111, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv118347,pg111_1_4-2,Image;StillImage,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/raney/pg111_1_4-002.jpg,https://www.lib.uidaho.edu/digital/objects/raney/small/pg111_1_4-002_sm.jpg,https://www.lib.uidaho.edu/digital/objects/raney/thumbs/pg111_1_4-002_th.jpg
raney22,pg111_1_4-3.jpg,Prof R. K. Pierson,Franklin Raney,1939-02-24,,"Prof R.K. Pierson, Silviculturist professor in the School of Forestry, seated in an office, looking down away from the camera.",professors (teachers),University of Idaho Campus,46.729516,-117.009971,"Franklin Raney photographs, 1927-1942, PG 111, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv118347,pg111_1_4-3,Image;StillImage,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/raney/pg111_1_4-003.jpg,https://www.lib.uidaho.edu/digital/objects/raney/small/pg111_1_4-003_sm.jpg,https://www.lib.uidaho.edu/digital/objects/raney/thumbs/pg111_1_4-003_th.jpg
raney23,pg111_1_4-4.jpg,Dean Dwights Jeffers,Franklin Raney,1940-05,,"Dwights Jeffers, Dean of the Forestry school, standing with one arm raised up, in front of students sitting on the ground.",deans (educators),University of Idaho Campus,46.729516,-117.009971,"Franklin Raney photographs, 1927-1942, PG 111, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv118347,pg111_1_4-4,Image;StillImage,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/raney/pg111_1_4-004.jpg,https://www.lib.uidaho.edu/digital/objects/raney/small/pg111_1_4-004_sm.jpg,https://www.lib.uidaho.edu/digital/objects/raney/thumbs/pg111_1_4-004_th.jpg
raney24,pg111_1_4-5.jpg,Dr. and Mrs. Irvin Jolley,Franklin Raney,1939-05,,"Dr. and Mrs. Irvin Jolley Christman Hall Proctor and Hostess, standing outside in front of a brick building. Dr. Jolley is also a Chemistry professor for the University of Idaho.",professors (teachers),University of Idaho Campus,46.729516,-117.009971,"Franklin Raney photographs, 1927-1942, PG 111, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv118347,pg111_1_4-5,Image;StillImage,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/raney/pg111_1_4-005.jpg,https://www.lib.uidaho.edu/digital/objects/raney/small/pg111_1_4-005_sm.jpg,https://www.lib.uidaho.edu/digital/objects/raney/thumbs/pg111_1_4-005_th.jpg
raney25,pg111_1_4-6.jpg,Dr. V. A. Young,Franklin Raney,1941,,"Dr. V. A. Young on a range trip, pointing off into the distance while students are standing or sitting, taking notes. ",professors (teachers),S.E. Washington,46.420555,-117.675822,"Franklin Raney photographs, 1927-1942, PG 111, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv118347,pg111_1_4-6,Image;StillImage,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/raney/pg111_1_4-006.jpg,https://www.lib.uidaho.edu/digital/objects/raney/small/pg111_1_4-006_sm.jpg,https://www.lib.uidaho.edu/digital/objects/raney/thumbs/pg111_1_4-006_th.jpg
raney26,pg111_1_5-1.jpg,Earl Schatz,Franklin Raney,1939,,"Earl Schatz, Freshman Year roommate of Franklin Raney. He was from Post Falls.",college students,University of Idaho Campus,46.729599,-117.012672,"Franklin Raney photographs, 1927-1942, PG 111, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv118347,pg111_1_5-1,Image;StillImage,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/raney/pg111_1_5-001.jpg,https://www.lib.uidaho.edu/digital/objects/raney/small/pg111_1_5-001_sm.jpg,https://www.lib.uidaho.edu/digital/objects/raney/thumbs/pg111_1_5-001_th.jpg
raney27,pg111_1_5-2.jpg,Phil Habib,Franklin Raney,1941-05,,Phil Habib was the second semester of sophomore year roommate to Franklin Raney. He is standing outside next to a brick building.,college students,University of Idaho Campus,46.729599,-117.012672,"Franklin Raney photographs, 1927-1942, PG 111, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv118347,pg111_1_5-2,Image;StillImage,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/raney/pg111_1_5-002.jpg,https://www.lib.uidaho.edu/digital/objects/raney/small/pg111_1_5-002_sm.jpg,https://www.lib.uidaho.edu/digital/objects/raney/thumbs/pg111_1_5-002_th.jpg
