objectid,filename,title,creator,description,date,date_is_approximate,subject,location,digital_collection,source,identifier,digital_source,format_original,format,type,rights,rightsstatement,language,sensitive,display_template,object_location,image_small,image_thumb
hiroshima013,ug31_folder167_013.jpg,"Gate posts marking front entrance to Hiroshima Army Hospital, 950 meters from Hypocenter",,Photograph of the remains of the front gate to the entrance of Hiroshima Army Hospital.,1945,yes,Atomic bomb; rubble,"Hiroshima, Japan",,"UG 31, William Edgar Borah Outlawry of War Foundation. Records, 1931-1987, University of Idaho Library Special Collections and Archives",UG31_167_13,,Photograph,image/jpg,image;stillimage,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",https://creativecommons.org/publicdomain/mark/1.0/,eng,,image,https://www.lib.uidaho.edu/digital/objects/hiroshima/ug31_folder167_013.jpg,https://www.lib.uidaho.edu/digital/objects/hiroshima/small/ug31_folder167_013_sm.jpg,https://www.lib.uidaho.edu/digital/objects/hiroshima/thumbs/ug31_folder167_013_th.jpg
hiroshima015,ug31_folder167_015.jpg,"Pressure of the blast bent the steel frame of the Mitsubishi Steel Works, 2400 feet south of ground zero at Nagasaki, away from the explosion.",,Photograph of the bent steel frame at Mitsubishi Steel works in Nagasaki.,1945,yes,Atomic bomb; rubble,,,"UG 31, William Edgar Borah Outlawry of War Foundation. Records, 1931-1987, University of Idaho Library Special Collections and Archives",UG31_167_15,,Photograph,image/jpg,image;stillimage,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",https://creativecommons.org/publicdomain/mark/1.0/,eng,,image,https://www.lib.uidaho.edu/digital/objects/hiroshima/ug31_folder167_015.jpg,https://www.lib.uidaho.edu/digital/objects/hiroshima/small/ug31_folder167_015_sm.jpg,https://www.lib.uidaho.edu/digital/objects/hiroshima/thumbs/ug31_folder167_015_th.jpg
hiroshima016,ug31_folder167_016.jpg,"Heavy walls of the vault are all that remain of the Koa Fire Insurance Company, 1300 feet from ground zero",,Photograph of the rubble of the Koa Fire Insurance Company in either Hiroshima or Nagasaki.,1945,yes,Atomic bomb; rubble,,,"UG 31, William Edgar Borah Outlawry of War Foundation. Records, 1931-1987, University of Idaho Library Special Collections and Archives",UG31_167_16,,Photograph,image/jpg,image;stillimage,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",https://creativecommons.org/publicdomain/mark/1.0/,eng,,image,https://www.lib.uidaho.edu/digital/objects/hiroshima/ug31_folder167_016.jpg,https://www.lib.uidaho.edu/digital/objects/hiroshima/small/ug31_folder167_016_sm.jpg,https://www.lib.uidaho.edu/digital/objects/hiroshima/thumbs/ug31_folder167_016_th.jpg
hiroshima017,ug31_folder167_017.jpg,"Collapsed band buildings, 400 meters from hypocenter",,Photograph of collapsed buildings in either Hiroshima or Nagasaki.,1945,yes,Atomic bomb; rubble,,,"UG 31, William Edgar Borah Outlawry of War Foundation. Records, 1931-1987, University of Idaho Library Special Collections and Archives",UG31_167_17,,Photograph,image/jpg,image;stillimage,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",https://creativecommons.org/publicdomain/mark/1.0/,eng,,image,https://www.lib.uidaho.edu/digital/objects/hiroshima/ug31_folder167_017.jpg,https://www.lib.uidaho.edu/digital/objects/hiroshima/small/ug31_folder167_017_sm.jpg,https://www.lib.uidaho.edu/digital/objects/hiroshima/thumbs/ug31_folder167_017_th.jpg
hiroshima018,ug31_folder167_018.jpg,"Electic lines snapped by the blast, 700 meters from hypocenter",,Photograph of a an electrical line that was snapped by the blast of the atomic bomb.,1945,yes,Atomic bomb; rubble,,,"UG 31, William Edgar Borah Outlawry of War Foundation. Records, 1931-1987, University of Idaho Library Special Collections and Archives",UG31_167_18,,Photograph,image/jpg,image;stillimage,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",https://creativecommons.org/publicdomain/mark/1.0/,eng,,image,https://www.lib.uidaho.edu/digital/objects/hiroshima/ug31_folder167_018.jpg,https://www.lib.uidaho.edu/digital/objects/hiroshima/small/ug31_folder167_018_sm.jpg,https://www.lib.uidaho.edu/digital/objects/hiroshima/thumbs/ug31_folder167_018_th.jpg
hiroshima019,ug31_folder167_019.jpg,"Shadows left by nine pedestrians on Yorozuyo-Bashi Bridge, 910 meters from hypocenter",,Photographs of shadows left by nine pedestrians on the Yorozuyo-Bashi Bridge. The only remains left for many victims of the atomic bomb near the hypocenter of bomb were shadows.,1945,yes,Atomic bomb--Blast effect,,,"UG 31, William Edgar Borah Outlawry of War Foundation. Records, 1931-1987, University of Idaho Library Special Collections and Archives",UG31_167_19,,Photograph,image/jpg,image;stillimage,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",https://creativecommons.org/publicdomain/mark/1.0/,eng,,image,https://www.lib.uidaho.edu/digital/objects/hiroshima/ug31_folder167_019.jpg,https://www.lib.uidaho.edu/digital/objects/hiroshima/small/ug31_folder167_019_sm.jpg,https://www.lib.uidaho.edu/digital/objects/hiroshima/thumbs/ug31_folder167_019_th.jpg
hiroshima020,ug31_folder167_020.jpg,Northern sector as viewed from City Hall,,Photograph of the view from City Hall of the destruction of the Northern Sector of either Hiroshima or Nagasaki.,1945,yes,Atomic bomb; rubble,,,"UG 31, William Edgar Borah Outlawry of War Foundation. Records, 1931-1987, University of Idaho Library Special Collections and Archives",UG31_167_20,,Photograph,image/jpg,image;stillimage,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",https://creativecommons.org/publicdomain/mark/1.0/,eng,,image,https://www.lib.uidaho.edu/digital/objects/hiroshima/ug31_folder167_020.jpg,https://www.lib.uidaho.edu/digital/objects/hiroshima/small/ug31_folder167_020_sm.jpg,https://www.lib.uidaho.edu/digital/objects/hiroshima/thumbs/ug31_folder167_020_th.jpg
hiroshima023,ug31_folder167_023.jpg,"Shima Surgical Hospital, Hiroshima, 100 feet from Ground Zero.",,Photograph of the rubble that was the Shima Surgical Hospital in Hiroshima.,1945,yes,Atomic bomb; rubble,"Hiroshima, Japan",,"UG 31, William Edgar Borah Outlawry of War Foundation. Records, 1931-1987, University of Idaho Library Special Collections and Archives",UG31_167_23,,Photograph,image/jpg,image;stillimage,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",https://creativecommons.org/publicdomain/mark/1.0/,eng,,image,https://www.lib.uidaho.edu/digital/objects/hiroshima/ug31_folder167_023.jpg,https://www.lib.uidaho.edu/digital/objects/hiroshima/small/ug31_folder167_023_sm.jpg,https://www.lib.uidaho.edu/digital/objects/hiroshima/thumbs/ug31_folder167_023_th.jpg
hiroshima026,ug31_folder167_026.jpg,"Hiroshima before bombing, 1000 foot circles",,Aerial photograph of Hiroshima before the dropping of the atomic bomb.,1945,yes,Atomic bomb,"Hiroshima, Japan",,"UG 31, William Edgar Borah Outlawry of War Foundation. Records, 1931-1987, University of Idaho Library Special Collections and Archives",UG31_167_26,,Photograph,image/jpg,image;stillimage,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",https://creativecommons.org/publicdomain/mark/1.0/,eng,,image,https://www.lib.uidaho.edu/digital/objects/hiroshima/ug31_folder167_026.jpg,https://www.lib.uidaho.edu/digital/objects/hiroshima/small/ug31_folder167_026_sm.jpg,https://www.lib.uidaho.edu/digital/objects/hiroshima/thumbs/ug31_folder167_026_th.jpg
hiroshima027,ug31_folder167_027.jpg,"Hiroshima after bombing, 1000 foot cirlces",,Aerial photograph of Hiroshima after the dropping of the atomic bomb.,1945,yes,Atomic bomb,"Hiroshima, Japan",,"UG 31, William Edgar Borah Outlawry of War Foundation. Records, 1931-1987, University of Idaho Library Special Collections and Archives",UG31_167_27,,Photograph,image/jpg,image;stillimage,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",https://creativecommons.org/publicdomain/mark/1.0/,eng,,image,https://www.lib.uidaho.edu/digital/objects/hiroshima/ug31_folder167_027.jpg,https://www.lib.uidaho.edu/digital/objects/hiroshima/small/ug31_folder167_027_sm.jpg,https://www.lib.uidaho.edu/digital/objects/hiroshima/thumbs/ug31_folder167_027_th.jpg
hiroshima028,ug31_folder167_028.jpg,Explosion at Nagasaki,,Photograph of the mushroom cloud over Nagasaki after the dropping of the atomic bomb.,1945,yes,Atomic bomb; explosions,"Nagasaki, Japan",,"UG 31, William Edgar Borah Outlawry of War Foundation. Records, 1931-1987, University of Idaho Library Special Collections and Archives",UG31_167_28,,Photograph,image/jpg,image;stillimage,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",https://creativecommons.org/publicdomain/mark/1.0/,eng,,image,https://www.lib.uidaho.edu/digital/objects/hiroshima/ug31_folder167_028.jpg,https://www.lib.uidaho.edu/digital/objects/hiroshima/small/ug31_folder167_028_sm.jpg,https://www.lib.uidaho.edu/digital/objects/hiroshima/thumbs/ug31_folder167_028_th.jpg
hiroshima033,ma2019-39_01.pdf,Letter from President Morito to the University of Idaho,"Morito, Tatsuo","Letter from Hiroshima University President, Tatsuo Morito, requesting assistance in rebuilding Hiroshima University's library and campus.",1951-01-25,,correspondence; Reconstruction (1939-1951)--Japan,,,"MA 2019-39, Hiroshima University. Collection, University of Idaho Library Special Collections and Archives",MA2019-39_01,,Document,application/pdf,image;stillimage,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,pdf,https://www.lib.uidaho.edu/digital/objects/hiroshima/ma2019-39_01.pdf,https://www.lib.uidaho.edu/digital/objects/hiroshima/small/ma2019-39_01_sm.jpg,https://www.lib.uidaho.edu/digital/objects/hiroshima/thumbs/ma2019-39_01_th.jpg
hiroshima034,ma2019-39_02.pdf,Letter from Rebun Kayo (English),"Kayo, Rebun",Letter in English from student who sent documentation and roof tiles to the University of Idaho describing the effects of the atomic bomb on Hiroshima.,2011,yes,correspondence; Reconstruction (1939-1951)--Japan,,,"MA 2019-39, Hiroshima University. Collection, University of Idaho Library Special Collections and Archives",MA2019-39_02,,Document,application/pdf,image;stillimage,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,pdf,https://www.lib.uidaho.edu/digital/objects/hiroshima/ma2019-39_02.pdf,https://www.lib.uidaho.edu/digital/objects/hiroshima/small/ma2019-39_02_sm.jpg,https://www.lib.uidaho.edu/digital/objects/hiroshima/thumbs/ma2019-39_02_th.jpg
hiroshima035,ma2019-39_03.jpg,Letter from Rebun Kayo (Japanese),"Kayo, Rebun",Letter in Japanese from student who sent documentation and roof tiles to the University of Idaho describing the effects of the atomic bomb on Hiroshima.,2011,yes,correspondence; Reconstruction (1939-1951)--Japan,,,"MA 2019-39, Hiroshima University. Collection, University of Idaho Library Special Collections and Archives",MA2019-39_03,,Document,image/jpg,image;stillimage,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,jpn,,image,https://www.lib.uidaho.edu/digital/objects/hiroshima/ma2019-39_03.jpg,https://www.lib.uidaho.edu/digital/objects/hiroshima/small/ma2019-39_03_sm.jpg,https://www.lib.uidaho.edu/digital/objects/hiroshima/thumbs/ma2019-39_03_th.jpg
hiroshima036,ma2019-39_04.jpg,Letter from Professor Deters to President Morito,"Deters, Merrill E.","A color copy of a letter sent to President Tatsuo Morito from University of Idaho Professor Merrill E. Deters, in the letter Professor Deters offers Hiroshima University a check for $3, two samples of seeds, and a book entitled Foundations of Silviculture by James W. Toumey. ",1951-04-31,,correspondence; Reconstruction (1939-1951)--Japan,,,"MA 2019-39, Hiroshima University. Collection, University of Idaho Library Special Collections and Archives",MA2019-39_04,,Document,image/jpg,image;stillimage,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,image,https://www.lib.uidaho.edu/digital/objects/hiroshima/ma2019-39_04.jpg,https://www.lib.uidaho.edu/digital/objects/hiroshima/small/ma2019-39_04_sm.jpg,https://www.lib.uidaho.edu/digital/objects/hiroshima/thumbs/ma2019-39_04_th.jpg
hiroshima037,ma2019-39_05.jpg,Letter from President Morito to Professor Deters,"Morito, Tatsuo","A color copy of a letter from President Tatsuo Morito to University of Idaho Professor Merrill E. Deters, in the letter President Morito thanks Professor Deters for his gifts. ",1951-07-11,,correspondence; Reconstruction (1939-1951)--Japan,,,"MA 2019-39, Hiroshima University. Collection, University of Idaho Library Special Collections and Archives",MA2019-39_05,,Document,image/jpg,image;stillimage,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,image,https://www.lib.uidaho.edu/digital/objects/hiroshima/ma2019-39_05.jpg,https://www.lib.uidaho.edu/digital/objects/hiroshima/small/ma2019-39_05_sm.jpg,https://www.lib.uidaho.edu/digital/objects/hiroshima/thumbs/ma2019-39_05_th.jpg
hiroshima038,ma2019-39_06.jpg,Roof Tile,,"Roof tile torn from the roof of a building due to the force of the atomic bomb landing in Hiroshima, Japan.",1945,yes,roofing tile; world wars; Atomic bomb; rubble;,"Hiroshima, Japan",,"MA 2019-39, Hiroshima University. Collection, University of Idaho Library Special Collections and Archives",MA2019-39_06,,Physical Object,image/jpg,image;stillimage,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,image,https://www.lib.uidaho.edu/digital/objects/hiroshima/ma2019-39_06.jpg,https://www.lib.uidaho.edu/digital/objects/hiroshima/small/ma2019-39_06_sm.jpg,https://www.lib.uidaho.edu/digital/objects/hiroshima/thumbs/ma2019-39_06_th.jpg
